P30530
O60496
P19784
P07437
P61803
O75144
P68543
P98171
O60934
P04431
Q71RG4
Q9UQ16
P30273
P28827
P30464
P13498
P27824
Q07011
O60307
P30483
P53671
Q15646
Q16653
P04141
Q13501
Q09013
P60228
P05156
P07359
Q16760
P11940
Q08708
P01019
Q9NY15
Q92918
P19012
Q9BXR6
P13611
P27361
Q9UER7
O14788
P05771
Q12933
Q9UK53
Q13480
O15056
Q13555
Q01814
P84095
Q96CV9
Q04759
Q95460
Q9NSI8
Q8TD46
Q9UK39
P26447
P53667
P33981
P16591
Q96LW7
Q13489
P61006
Q96ST3
O75914
Q9Y5W7
P04439
P51813
Q13114
O75888
Q13148
P23246
P11274
P28749
Q9NPY3
P62879
Q96HS1
Q16613
Q15772
Q13576
P49662
P13688
P54136
Q502W6
P49327
Q8N122
P27701
O15259
O15151
Q14566
O75791
Q96EP0
O94888
Q14114
Q9NR81
P14625
P55211
O60603
Q92478
Q8WXG6
P45983
Q15233
P01892
Q92569
Q9UPN4
O60243
Q5TCX8
Q9UL18
P18464
Q99884
O75493
Q03169
Q92838
P21580
Q9BT78
P16260
Q13287
O60543
Q16531
Q96J92
Q9Y5A7
Q9BXS9
P21709
Q9UJ41
P07333
Q9Y679
Q16890
Q8NCG7
P54253
A6NI72
Q9NYS7
Q9Y6Q9
O75643
Q9NP84
Q8TDQ0
Q9Y5I1
Q9NY25
Q86WI3
Q9NWF9
O60476
Q9H6X2
A6NK59
P19397
P39060
Q13905
Q14978
Q96RG2
P08246
Q9HBH1
Q96EY1
Q8NHL6
Q9H0K1
P46379
O15394
P63165
Q86W92
P17706
O95498
Q13131
A4FU49
P01861
Q86Z02
Q9Y394
Q9NR28
Q9P2J5
Q13315
Q9GZZ7
Q9Y6Y9
Q9Y239
Q7RTN6
Q13443
Q9UQB8
P02790
Q96CG3
P07332
P05362
P28331
Q53ET0
P34947
P27448
Q96A46
P09871
Q9H6S3
P00749
P62906
O00463
O14936
Q15573
Q9HC29
Q8IY17
Q14765
O60733
O95256
P20336
Q05586
P07900
Q02156
P01375
P34931
P42701
P07358
Q6SA08
P23469
Q86XP1
O75385
Q8N0X7
P07949
Q00535
Q15311
P58753
Q9NZD8
O43791
Q9Y279
P49863
Q96A99
P55040
O95166
P31785
P05556
P52565
O95727
Q96SI9
Q9BYB0
Q9HAT8
P10809
P58340
P19878
P61024
Q96BD6
P53350
O75874
P31751
Q9BZR9
P48736
Q13188
P31946
Q9NRD9
Q9BYM8
Q9Y3P4
Q14511
Q9BXM7
P04629
O75688
Q8TCU6
Q13873
P12755
P15586
Q99835
Q9NWQ8
P06731
O14578
A1KZ92
Q96RD9
O75925
O15169
P62805
P60866
Q16829
Q01151
Q9UN86
O76075
Q9GZY6
Q9NYI0
Q15047
A2RUT3
Q14943
Q9BXA6
Q9UQM7
Q96SB4
Q05996
Q9NS68
P38646
P17612
Q14315
Q53T94
Q16584
P55210
P07203
O14654
