O15455
O95714
Q13077
Q99683
Q99759
P19438
Q08379
Q14457
Q9ULZ3
O14896
Q99558
Q9NWF9
P20333
Q92831
P02751
Q9H6Z9
P06241
Q5VVQ6
Q9UBU9
Q13568
P78560
Q6ZMP0
Q13501
O15111
Q9UK80
P04637
Q9NQC7
Q13107
Q96SL4
Q13546
Q9Y4K3
P14373
Q9UHD2
P04899
P06702
Q14790
Q13571
P27361
Q8NB16
Q9H0F6
P51692
Q99836
Q12933
P33681
P00533
O14920
P14598
Q96FA3
Q8IUC6
P0CG48
P78527
P42081
P98170
P30041
Q15080
Q9Y3C5
Q8NFZ5
Q96CV9
Q9NYJ8
Q15628
Q14653
Q9HC29
P47712
Q14164
Q07666
O14763
Q15717
Q93038
Q96AB6
P07900
Q9Y6R0
P01375
Q8IYJ3
Q13489
Q96ST3
P51617
Q9Y6Q5
Q9UL19
P04083
P16410
O43187
Q13114
Q13148
Q5VV17
P61088
Q8TEL6
Q9UDY8
O75376
Q9HB75
P58340
O43318
P19878
Q14161
P25445
P19838
P36406
Q96EP0
P63104
Q5S007
Q92793
Q92845
Q86VP1
O43353
O94986
P19474
Q8IVM0
O95352
Q9BYM8
O15519
Q9Y572
Q9Y618
P02741
P05109
Q13387
Q13547
P50591
O75604
P09923
Q13490
P63096
Q92985
Q9Y6K9
Q09472
P21580
Q8WZ73
O15169
O14980
Q9Y508
P42229
Q96CW1
Q08830
Q92851
O75460
Q96J02
P61981
Q13158
