Q8NDB2	
P0C0L4	
P0C0L5	
P20023	
P02741	
P16410	
P24855	
Q13609	
P31994	
Q13568	
P11215	
P29376	
P19878	
Q15116	
Q9Y2R2	
O95267	
Q13546	
Q14765	
O60602	
P21580	
P23510	
Q9NSU2
