,UniProt1,UniProt2,symbol1,symbol2,evidence type
104,O14920,Q13546,IKBKB,RIPK1,exp;pred
105,O14920,Q13568,IKBKB,IRF5,pred
106,O14931,O60602,NCR3,TLR5,pred
107,O14931,P0C0L5,NCR3,C4B;C4B_2,pred
108,O14931,P20023,NCR3,CR2,pred
109,O14936,Q13546,CASK,RIPK1,pred
110,O14939,P11215,PLD2,ITGAM,pred
111,O14944,O60602,EREG,TLR5,pred
112,O14944,P19878,EREG,NCF2,pred
113,O14948,P19878,TFEC,NCF2,pred
114,O14974,Q13546,PPP1R12A,RIPK1,pred
115,O14976,P16410,GAK,CTLA4,pred
116,O14980,Q13546,XPO1,RIPK1,exp
117,O14980,Q13568,XPO1,IRF5,exp
118,O15021,P29376,MAST4,LTK,pred
119,O15034,P19878,RIMBP2,NCF2,pred
120,O15056,Q9Y2R2,SYNJ2,PTPN22,pred
121,O15068,P19878,MCF2L,NCF2,pred
122,O15085,O95267,ARHGEF11,RASGRP1,pred
123,O15105,Q13546,SMAD7,RIPK1,pred
124,O15111,P11215,CHUK,ITGAM,pred
125,O15111,P21580,CHUK,TNFAIP3,exp;pred
126,O15111,Q13546,CHUK,RIPK1,exp;pred
127,O15111,Q13568,CHUK,IRF5,exp;pred
128,O15117,P16410,FYB1,CTLA4,pred
129,O15117,P19878,FYB1,NCF2,pred
130,O15117,P31994,FYB1,FCGR2B,pred
131,O15146,P29376,MUSK,LTK,pred
132,O15146,Q13546,MUSK,RIPK1,pred
133,O15151,P21580,MDM4,TNFAIP3,pred
134,O15162,P31994,PLSCR1,FCGR2B,pred
135,O15164,Q13546,TRIM24,RIPK1,pred
136,O15169,P21580,AXIN1,TNFAIP3,exp
137,O15169,Q13546,AXIN1,RIPK1,pred
138,O15197,P29376,EPHB6,LTK,pred
139,O15204,P11215,ADAMDEC1,ITGAM,pred
140,O15230,P02741,LAMA5,CRP,exp
141,O15259,P19878,NPHP1,NCF2,pred
142,O15350,Q13546,TP73,RIPK1,pred
143,O15350,Q14765,TP73,STAT4,pred
144,O15350,Q9NSU2,TP73,TREX1,pred
145,O15355,Q13568,PPM1G,IRF5,exp
146,O15357,P31994,INPPL1,FCGR2B,exp;pred
147,O15357,Q13546,INPPL1,RIPK1,pred
148,O15357,Q9Y2R2,INPPL1,PTPN22,pred
149,O15389,P11215,SIGLEC5,ITGAM,pred
150,O15392,Q13546,BIRC5,RIPK1,pred
151,O15394,P11215,NCAM2,ITGAM,pred
152,O15397,Q13546,IPO8,RIPK1,pred
153,O15455,O60602,TLR3,TLR5,pred
154,O15455,Q13546,TLR3,RIPK1,exp;ortho;pred
155,O15455,Q13568,TLR3,IRF5,pred
156,O15519,O60602,CFLAR,TLR5,pred
157,O15519,P21580,CFLAR,TNFAIP3,pred
158,O15519,Q13546,CFLAR,RIPK1,exp;pred
159,O15524,O95267,SOCS1,RASGRP1,pred
160,O15524,P21580,SOCS1,TNFAIP3,pred
161,O15524,Q14765,SOCS1,STAT4,pred
162,O15524,Q15116,SOCS1,PDCD1,exp
163,O15530,P29376,PDPK1,LTK,pred
164,O15530,Q13546,PDPK1,RIPK1,pred
165,O15530,Q9Y2R2,PDPK1,PTPN22,exp
166,O43175,Q9Y2R2,PHGDH,PTPN22,pred
167,O43184,P29376,ADAM12,LTK,pred
168,O43187,O60602,IRAK2,TLR5,pred
169,O43187,P11215,IRAK2,ITGAM,pred
170,O43187,P21580,IRAK2,TNFAIP3,exp
171,O43187,Q13546,IRAK2,RIPK1,pred
172,O43187,Q13568,IRAK2,IRF5,pred
173,O43187,Q14765,IRAK2,STAT4,pred
174,O43283,P21580,MAP3K13,TNFAIP3,pred
175,O43283,Q13546,MAP3K13,RIPK1,pred
176,O43286,P02741,B4GALT5,CRP,exp
177,O43293,P29376,DAPK3,LTK,pred
178,O43293,Q13546,DAPK3,RIPK1,pred
179,O43307,O95267,ARHGEF9,RASGRP1,pred
180,O43315,P19878,AQP9,NCF2,pred
181,O43316,Q13546,PAX4,RIPK1,pred
182,O43318,O60602,MAP3K7,TLR5,pred
183,O43318,P21580,MAP3K7,TNFAIP3,pred
184,O43318,Q13546,MAP3K7,RIPK1,exp;pred
185,O43353,P16410,RIPK2,CTLA4,pred
186,O43353,P21580,RIPK2,TNFAIP3,ortho;pred
187,O43353,Q13546,RIPK2,RIPK1,exp;pred
188,O43426,Q9Y2R2,SYNJ1,PTPN22,pred
189,O43464,Q13546,HTRA2,RIPK1,pred
190,O43488,Q9Y2R2,AKR7A2,PTPN22,exp
191,O43493,P16410,TGOLN2,CTLA4,pred
192,O43504,Q14765,LAMTOR5,STAT4,exp
193,O43516,P31994,WIPF1,FCGR2B,pred
194,O43521,Q13546,BCL2L11,RIPK1,pred
195,O43524,P21580,FOXO3,TNFAIP3,pred
196,O43541,Q13546,SMAD6,RIPK1,pred
197,O43557,P21580,TNFSF14,TNFAIP3,pred
198,O43557,P23510,TNFSF14,TNFSF4,pred
199,O43557,Q13546,TNFSF14,RIPK1,pred
200,O43561,P16410,LAT,CTLA4,pred
201,O43561,P29376,LAT,LTK,pred
202,O43561,Q9Y2R2,LAT,PTPN22,pred
203,O43586,P19878,PSTPIP1,NCF2,pred
204,O43586,Q9Y2R2,PSTPIP1,PTPN22,exp;ortho
205,O43592,Q13546,XPOT,RIPK1,pred
206,O43639,P19878,NCK2,NCF2,pred
207,O43639,Q9Y2R2,NCK2,PTPN22,pred
208,O43707,P31994,ACTN4,FCGR2B,pred
209,O43707,Q13546,ACTN4,RIPK1,pred
210,O43734,P21580,TRAF3IP2,TNFAIP3,pred
211,O43734,Q13546,TRAF3IP2,RIPK1,pred
212,O43747,P16410,AP1G1,CTLA4,pred
213,O43765,Q13568,SGTA,IRF5,exp
214,O43781,Q13546,DYRK3,RIPK1,pred
215,O43791,P21580,SPOP,TNFAIP3,pred
216,O43795,Q13546,MYO1B,RIPK1,pred
217,O43809,Q13546,NUDT21,RIPK1,pred
218,O43819,Q9Y2R2,SCO2,PTPN22,exp
219,O43852,Q9Y2R2,CALU,PTPN22,exp
220,O43866,P19878,CD5L,NCF2,pred
221,O43914,P11215,TYROBP,ITGAM,pred
222,O43914,P19878,TYROBP,NCF2,pred
223,O60216,P11215,RAD21,ITGAM,exp
224,O60229,O95267,KALRN,RASGRP1,pred
225,O60229,Q13546,KALRN,RIPK1,pred
226,O60243,P02741,HS6ST1,CRP,exp
227,O60260,P19878,PRKN,NCF2,pred
228,O60260,Q13546,PRKN,RIPK1,pred
229,O60307,P29376,MAST3,LTK,pred
230,O60330,P11215,PCDHGA12,ITGAM,pred
231,O60343,P19878,TBC1D4,NCF2,exp
232,O60449,P11215,LY75,ITGAM,pred
233,O60449,P31994,LY75,FCGR2B,pred
234,O60476,O60602,MAN1A2,TLR5,exp
235,O60496,P31994,DOK2,FCGR2B,pred
236,O60504,P19878,SORBS3,NCF2,pred
237,O60512,P02741,B4GALT3,CRP,exp
238,O60543,P24855,CIDEA,DNASE1,pred
239,O60543,Q13609,CIDEA,DNASE1L3,pred
240,O60566,Q13546,BUB1B,RIPK1,pred
241,O60602,P01137,TLR5,TGFB1,pred
242,O60602,Q99836,TLR5,MYD88,exp;pred
243,O60602,P58753,TLR5,TIRAP,pred
244,O60602,Q96HY6,TLR5,DDRGK1,exp
245,O60602,Q86XR7,TLR5,TICAM2,pred
246,O60602,Q8IUD6,TLR5,RNF135,pred
247,O60602,Q9NP60,TLR5,IL1RAPL2,pred
248,O60602,P05362,TLR5,ICAM1,pred
249,O60602,Q13568,TLR5,IRF5,pred
250,O60602,P07996,TLR5,THBS1,pred
251,O60602,P06729,TLR5,CD2,pred
252,O60602,Q13045,TLR5,FLII,pred
253,O60602,Q9NQ25,TLR5,SLAMF7,pred
254,O60602,P02788,TLR5,LTF,pred
255,O60602,Q8IUC6,TLR5,TICAM1,exp
256,O60602,Q8WYK0,TLR5,ACOT12,exp
257,O60602,O75911,TLR5,DHRS3,exp
258,O60602,P12319,TLR5,FCER1A,pred
259,O60602,Q9UDY8,TLR5,MALT1,pred
260,O60602,P10643,TLR5,C7,pred
261,O60602,P07766,TLR5,CD3E,pred
262,O60602,Q13158,TLR5,FADD,pred
263,O60602,P27986,TLR5,PIK3R1,exp;pred
264,O60602,Q9UGK3,TLR5,STAP2,pred
265,O60602,Q9Y616,TLR5,IRAK3,pred
266,O60602,Q96F15,TLR5,GIMAP5,pred
267,O60602,P29466,TLR5,CASP1,pred
268,O60602,Q9Y239,TLR5,NOD1,pred
269,O60602,P16885,TLR5,PLCG2,pred
270,O60602,Q9Y2C9,TLR5,TLR6,pred
271,O60602,P42081,TLR5,CD86,pred
272,O60602,Q9NYK1,TLR5,TLR7,pred
273,O60602,Q9NZN1,TLR5,IL1RAPL1,pred
274,O60602,Q16653,TLR5,MOG,pred
275,O60602,P04233,TLR5,CD74,pred
276,O60602,Q9Y394,TLR5,DHRS7,exp
277,O60602,Q16740,TLR5,CLPP,pred
278,O60602,Q96MN2,TLR5,NLRP4,pred
279,O60602,Q96P20,TLR5,NLRP3,pred
280,O60602,P06681,TLR5,C2,pred
281,O60602,Q9Y4K3,TLR5,TRAF6,pred
282,O60602,P43405,TLR5,SYK,pred
283,O60602,Q15306,TLR5,IRF4,pred
284,O60602,P49238,TLR5,CX3CR1,pred
285,O60602,Q9Y5W7,TLR5,SNX14,exp
286,O60602,P08887,TLR5,IL6R,pred
287,O60602,P06340,TLR5,HLA-DOA,pred
288,O60602,Q96TA2,TLR5,YME1L1,pred
289,O60602,O76031,TLR5,CLPX,pred
290,O60602,P20701,TLR5,ITGAL,pred
291,O60602,P25445,TLR5,FAS,pred
292,O60602,Q16581,TLR5,C3AR1,pred
293,O60602,Q9GZY6,TLR5,LAT2,pred
294,O60602,Q14790,TLR5,CASP8,pred
295,O60602,Q9NPY3,TLR5,CD93,pred
296,O60602,O95256,TLR5,IL18RAP,pred
297,O60602,Q99467,TLR5,CD180,pred
298,O60602,Q9Y320,TLR5,TMX2,exp
299,O60602,P23511,TLR5,NFYA,pred
300,O60602,P35968,TLR5,KDR,pred
301,O60602,Q9BY67,TLR5,CADM1,pred
302,O60602,Q86YW5,TLR5,TREML1,pred
303,O60602,Q9NWF9,TLR5,RNF216,exp
304,O60602,Q6IA17,TLR5,SIGIRR,exp;pred
305,O60602,P14778,TLR5,IL1R1,pred
306,O60602,Q13547,TLR5,HDAC1,pred
307,O60602,Q9Y279,TLR5,VSIG4,pred
308,O60602,Q15139,TLR5,PRKD1,exp
309,O60602,Q96QH2,TLR5,PRAM1,pred
310,O60602,O95476,TLR5,CTDNEP1,exp
311,O60602,O95711,TLR5,LY86,pred
312,O60602,Q9BXR5,TLR5,TLR10,pred
313,O60602,Q9BT09,TLR5,CNPY3,exp
314,O60602,O60603,TLR5,TLR2,pred
315,O60602,P51617,TLR5,IRAK1,exp;pred
316,O60602,P21730,TLR5,C5AR1,pred
317,O60602,Q9NZD8,TLR5,SPG21,pred
318,O60602,Q15399,TLR5,TLR1,exp;pred
319,O60602,Q9BRX8,TLR5,FAM213A,exp
320,O60602,Q01638,TLR5,IL1RL1,pred
321,O60602,Q9NWZ3,TLR5,IRAK4,exp;pred
322,O60602,Q92626,TLR5,PXDN,pred
323,O60602,Q96FA3,TLR5,PELI1,pred
324,O60602,P11215,TLR5,ITGAM,pred
325,O60602,Q9NY15,TLR5,STAB1,pred
326,O60602,Q92985,TLR5,IRF7,pred
327,O60602,P02747,TLR5,C1QC,pred
328,O60602,Q9NPH3,TLR5,IL1RAP,pred
329,O60602,Q9Y6Y9,TLR5,LY96,pred
330,O60602,Q13478,TLR5,IL18R1,pred
331,O60602,Q9HC29,TLR5,NOD2,pred
332,O60602,Q9H0E2,TLR5,TOLLIP,pred
333,O60602,P15813,TLR5,CD1D,pred
334,O60602,Q9NR97,TLR5,TLR8,pred
335,O60602,Q9Y3E5,TLR5,PTRH2,exp
336,O60602,P19838,TLR5,NFKB1,pred
337,O60602,P08571,TLR5,CD14,pred
338,O60602,P08047,TLR5,SP1,pred
339,O60602,Q9BXN2,TLR5,CLEC7A,pred
340,O60602,Q14116,TLR5,IL18,pred
341,O60602,Q8IXA5,TLR5,SPACA3,pred
