,UniProt1,UniProt2,symbol1,symbol2,evidence type
530,O95498,P11215,VNN2,ITGAM,pred
531,O95502,P02741,NPTXR,CRP,pred
532,O95630,P21580,STAMBP,TNFAIP3,pred
533,O95630,Q13546,STAMBP,RIPK1,pred
534,O95631,P0C0L4,NTN1,C4A,pred
535,O95644,Q15116,NFATC1,PDCD1,pred
536,O95665,P24855,NTSR2,DNASE1,pred
537,O95711,P19878,LY86,NCF2,pred
538,O95714,Q13546,HERC2,RIPK1,exp
539,O95727,P02741,CRTAM,CRP,pred
540,O95727,P0C0L5,CRTAM,C4B;C4B_2,pred
541,O95727,P11215,CRTAM,ITGAM,pred
542,O95727,P16410,CRTAM,CTLA4,pred
543,O95727,P23510,CRTAM,TNFSF4,pred
544,O95741,P24855,CPNE6,DNASE1,pred
545,O95747,Q13546,OXSR1,RIPK1,pred
546,O95751,P16410,LDOC1,CTLA4,pred
547,O95786,P21580,DDX58,TNFAIP3,exp
548,O95786,Q13568,DDX58,IRF5,pred
549,O95793,P19878,STAU1,NCF2,pred
550,O95793,Q13546,STAU1,RIPK1,pred
551,O95816,P21580,BAG2,TNFAIP3,pred
552,O95816,Q13546,BAG2,RIPK1,pred
553,O95817,Q13546,BAG3,RIPK1,pred
554,O95819,Q13546,MAP4K4,RIPK1,pred
555,O95831,Q13546,AIFM1,RIPK1,pred
556,O95835,Q13546,LATS1,RIPK1,pred
557,O95863,P21580,SNAI1,TNFAIP3,exp;ortho
558,O95944,P24855,NCR2,DNASE1,pred
559,O95965,P11215,ITGBL1,ITGAM,pred
560,O95971,P19878,CD160,NCF2,pred
561,O95976,P11215,IGSF6,ITGAM,pred
562,O95976,P19878,IGSF6,NCF2,pred
563,O95976,P31994,IGSF6,FCGR2B,pred
564,O95990,P24855,FAM107A,DNASE1,pred
565,O95998,P11215,IL18BP,ITGAM,pred
566,O95999,P19878,BCL10,NCF2,pred
567,O95999,P21580,BCL10,TNFAIP3,pred
568,O95999,Q13546,BCL10,RIPK1,ortho;pred
569,O95999,Q9Y2R2,BCL10,PTPN22,pred
570,O96000,Q9Y2R2,NDUFB10,PTPN22,exp
571,O96013,P21580,PAK4,TNFAIP3,pred
572,O96013,Q13546,PAK4,RIPK1,pred
573,O96017,Q13546,CHEK2,RIPK1,pred
574,O96020,P21580,CCNE2,TNFAIP3,pred
575,P00367,P02741,GLUD1,CRP,exp
576,P00367,Q9Y2R2,GLUD1,PTPN22,exp
577,P00441,P19878,SOD1,NCF2,pred
578,P00488,P11215,F13A1,ITGAM,pred
579,P00519,P16410,ABL1,CTLA4,pred
580,P00519,P19878,ABL1,NCF2,pred
581,P00519,P29376,ABL1,LTK,pred
582,P00519,P31994,ABL1,FCGR2B,pred
583,P00519,Q13546,ABL1,RIPK1,pred
584,P00519,Q14765,ABL1,STAT4,pred
585,P00519,Q9Y2R2,ABL1,PTPN22,pred
586,P00533,P21580,EGFR,TNFAIP3,pred
587,P00533,P24855,EGFR,DNASE1,pred
588,P00533,P29376,EGFR,LTK,exp;pred
589,P00533,P31994,EGFR,FCGR2B,pred
590,P00533,Q13546,EGFR,RIPK1,exp;pred
591,P00533,Q14765,EGFR,STAT4,pred
592,P00533,Q9Y2R2,EGFR,PTPN22,exp;pred
593,P00736,P0C0L4,C1R,C4A,pred
594,P00736,P0C0L5,C1R,C4B;C4B_2,pred
595,P00736,P19878,C1R,NCF2,pred
596,P00736,P20023,C1R,CR2,pred
597,P00736,P31994,C1R,FCGR2B,pred
598,P00736,Q9Y2R2,C1R,PTPN22,pred
599,P00738,P0C0L4,HP,C4A,pred
600,P00738,P11215,HP,ITGAM,exp
601,P00746,P0C0L5,CFD,C4B;C4B_2,pred
602,P00746,P19878,CFD,NCF2,pred
603,P00747,Q13609,PLG,DNASE1L3,pred
604,P00748,P0C0L5,F12,C4B;C4B_2,pred
605,P00748,P20023,F12,CR2,pred
606,P00749,P31994,PLAU,FCGR2B,pred
607,P00751,P0C0L4,CFB,C4A,pred
608,P00751,P0C0L5,CFB,C4B;C4B_2,pred
609,P00751,P11215,CFB,ITGAM,pred
610,P00751,P20023,CFB,CR2,pred
611,P01009,P02741,SERPINA1,CRP,pred
612,P01019,Q13546,AGT,RIPK1,pred
613,P01023,P0C0L5,A2M,C4B;C4B_2,pred
614,P01023,P11215,A2M,ITGAM,pred
615,P01023,P16410,A2M,CTLA4,pred
616,P01023,P19878,A2M,NCF2,pred
617,P01023,P20023,A2M,CR2,pred
618,P01024,P02741,C3,CRP,pred
619,P01024,P0C0L4,C3,C4A,pred
620,P01024,P0C0L5,C3,C4B;C4B_2,pred
621,P01024,P11215,C3,ITGAM,exp;pred
622,P01024,P19878,C3,NCF2,pred
623,P01024,P20023,C3,CR2,exp;pred
624,P01031,P02741,C5,CRP,pred
625,P01031,P0C0L4,C5,C4A,pred
626,P01031,P0C0L5,C5,C4B;C4B_2,pred
627,P01031,P11215,C5,ITGAM,pred
628,P01031,P20023,C5,CR2,pred
629,P01034,P0C0L4,CST3,C4A,exp
630,P01034,P0C0L5,CST3,C4B;C4B_2,pred
631,P01106,P0C0L4,MYC,C4A,exp
632,P01111,P19878,NRAS,NCF2,pred
633,P01133,Q13546,EGF,RIPK1,pred
634,P01137,P11215,TGFB1,ITGAM,pred
635,P01137,P16410,TGFB1,CTLA4,pred
636,P01137,P23510,TGFB1,TNFSF4,pred
637,P01137,Q13546,TGFB1,RIPK1,pred
638,P01243,P24855,-,DNASE1,pred
639,P01308,Q13546,INS,RIPK1,pred
640,P01374,Q13546,LTA,RIPK1,exp;pred
641,P01375,P02741,TNF,CRP,pred
642,P01375,P21580,TNF,TNFAIP3,exp;pred
643,P01375,P23510,TNF,TNFSF4,pred
644,P01375,Q13546,TNF,RIPK1,exp;ortho;pred
645,P01375,Q13568,TNF,IRF5,exp
646,P01562,P20023,IFNA1;IFNA13,CR2,exp
647,P01563,Q13568,IFNA2,IRF5,pred
648,P01574,P21580,IFNB1,TNFAIP3,pred
649,P01574,Q13568,IFNB1,IRF5,pred
650,P01583,P16410,IL1A,CTLA4,pred
651,P01584,P11215,IL1B,ITGAM,pred
652,P01584,P16410,IL1B,CTLA4,pred
653,P01584,P19878,IL1B,NCF2,pred
654,P01584,P21580,IL1B,TNFAIP3,ortho
655,P01584,Q13546,IL1B,RIPK1,ortho
656,P01584,Q14765,IL1B,STAT4,pred
657,P01589,P0C0L4,IL2RA,C4A,pred
658,P01589,P16410,IL2RA,CTLA4,pred
659,P01589,P20023,IL2RA,CR2,pred
660,P01600,P11215,-,ITGAM,pred
661,P01730,P11215,CD4,ITGAM,pred
662,P01730,P16410,CD4,CTLA4,pred
663,P01730,Q9Y2R2,CD4,PTPN22,pred
664,P01732,P0C0L5,CD8A,C4B;C4B_2,pred
665,P01732,P11215,CD8A,ITGAM,pred
666,P01732,P16410,CD8A,CTLA4,pred
667,P01732,P31994,CD8A,FCGR2B,pred
668,P01732,Q14765,CD8A,STAT4,pred
669,P01834,P31994,IGKC,FCGR2B,pred
670,P01857,P21580,IGHG1,TNFAIP3,pred
671,P01857,P31994,IGHG1,FCGR2B,exp;pred
672,P01857,Q13546,IGHG1,RIPK1,pred
673,P01859,P31994,IGHG2,FCGR2B,pred
674,P01860,P31994,IGHG3,FCGR2B,pred
675,P01861,P31994,IGHG4,FCGR2B,pred
676,P01889,P31994,HLA-B,FCGR2B,pred
677,P01891,P16410,HLA-A,CTLA4,pred
678,P01892,P16410,HLA-A,CTLA4,pred
679,P01903,P11215,HLA-DRA,ITGAM,pred
680,P01903,P31994,HLA-DRA,FCGR2B,pred
681,P01911,P11215,HLA-DRB1,ITGAM,pred
682,P01911,P31994,HLA-DRB1,FCGR2B,pred
683,P01920,P11215,HLA-DQB1,ITGAM,pred
684,P02008,P24855,HBZ,DNASE1,pred
685,P02461,P11215,COL3A1,ITGAM,pred
686,P02461,P16410,COL3A1,CTLA4,pred
687,P02545,P11215,LMNA,ITGAM,exp
688,P02549,Q9Y2R2,SPTA1,PTPN22,exp
689,P02649,Q13546,APOE,RIPK1,pred
690,P02652,P0C0L4,APOA2,C4A,exp
691,P02652,Q13546,APOA2,RIPK1,pred
692,P02671,P11215,FGA,ITGAM,pred
693,P02675,P11215,FGB,ITGAM,pred
694,P02679,P11215,FGG,ITGAM,exp;pred
695,P02741,Q15818,CRP,NPTX1,pred
696,P02741,Q92637,CRP,FCGR1B,pred
697,P02741,Q4LDE5,CRP,SVEP1,pred
698,P02741,Q01201,CRP,RELB,pred
699,P02741,P08572,CRP,COL4A2,exp
700,P02741,Q16777,CRP,HIST2H2AC,exp
701,P02741,Q04206,CRP,RELA,pred
702,P02741,P12319,CRP,FCER1A,pred
703,P02741,Q9BXR6,CRP,CFHR5,pred
704,P02741,P02746,CRP,C1QB,pred
705,P02741,P39060,CRP,COL18A1,exp
706,P02741,P26022,CRP,PTX3,pred
707,P02741,Q7LGC8,CRP,CHST3,exp
708,P02741,P07996,CRP,THBS1,pred
709,P02741,Q00653,CRP,NFKB2,pred
710,P02741,P03372,CRP,ESR1,pred
711,P02741,Q9Y5H8,CRP,PCDHA3,pred
712,P02741,P52849,CRP,NDST2,exp
713,P02741,P29353,CRP,SHC1,pred
714,P02741,Q13316,CRP,DMP1,pred
715,P02741,P10914,CRP,IRF1,pred
716,P02741,P55268,CRP,LAMB2,exp
717,P02741,P19652,CRP,ORM2,pred
718,P02741,Q04864,CRP,REL,pred
719,P02741,P40429,CRP,RPL13A,exp
720,P02741,Q9UHN6,CRP,TMEM2,exp
721,P02741,Q9UBV7,CRP,B4GALT7,exp
722,P02741,Q16394,CRP,EXT1,exp
723,P02741,P31994,CRP,FCGR2B,exp;pred
724,P02741,P10966,CRP,CD8B,pred
725,P02741,P02745,CRP,C1QA,exp;pred
726,P02741,P29320,CRP,EPHA3,pred
727,P02741,P02751,CRP,FN1,exp;pred
728,P02741,Q9NX62,CRP,IMPAD1,exp
729,P02741,P0C0S8,CRP,HIST1H2AG;HIST1H2AI;HIST1H2AK;HIST1H2AL;HIST1H2AM,exp
730,P02741,P04003,CRP,C4BPA,pred
731,P02741,P25391,CRP,LAMA1,exp
732,P02741,P24071,CRP,FCAR,exp
733,P02741,P08603,CRP,CFH,exp;pred
734,P02741,P49716,CRP,CEBPD,pred
735,P02741,P05231,CRP,IL6,exp
736,P02741,Q05952,CRP,TNP2,pred
737,P02741,P28482,CRP,MAPK1,exp
738,P02741,P02743,CRP,APCS,exp;pred
739,P02741,Q96SI9,CRP,STRBP,exp
740,P02741,Q9Y6N6,CRP,LAMC3,exp
741,P02741,Q9NS00,CRP,C1GALT1,exp
742,P02741,Q96A99,CRP,PTX4,pred
743,P02741,Q9BZZ2,CRP,SIGLEC1,pred
744,P02741,P41159,CRP,LEP,exp;pred
745,P02741,Q15848,CRP,ADIPOQ,pred
746,P02741,P07358,CRP,C8B,pred
747,P02741,P08047,CRP,SP1,pred
748,P02741,Q13332,CRP,PTPRS,exp
749,P02741,P02741,CRP,CRP,exp
750,P02741,P35625,CRP,TIMP3,exp
751,P02741,Q6ZT12,CRP,UBR3,exp
752,P02741,P12318,CRP,FCGR2A,exp;pred
753,P02741,Q96DF8,CRP,ESS2,exp
754,P02741,Q96IJ6,CRP,GMPPA,exp
755,P02741,P49715,CRP,CEBPA,pred
756,P02741,P47972,CRP,NPTX2,pred
757,P02741,Q9BZ76,CRP,CNTNAP3,exp
758,P02741,P17676,CRP,CEBPB,pred
759,P02741,P05156,CRP,CFI,pred
760,P02741,P0C0L4,CRP,C4A,pred
761,P02741,Q9UNX3,CRP,RPL26L1,exp
762,P02741,P08621,CRP,SNRNP70,exp
763,P02741,Q13219,CRP,PAPPA,pred
764,P02741,P31995,CRP,FCGR2C,exp;pred
765,P02741,P27361,CRP,MAPK3,exp
766,P02741,P12314,CRP,FCGR1A,exp;pred
767,P02741,Q11206,CRP,ST3GAL4,exp
768,P02741,P53567,CRP,CEBPG,pred
769,P02741,Q92496,CRP,CFHR4,exp;pred
770,P02741,Q15485,CRP,FCN2,exp;pred
771,P02741,P02747,CRP,C1QC,pred
772,P02741,P62829,CRP,RPL23,exp
773,P02741,Q9HCN6,CRP,GP6,pred
774,P02741,P13501,CRP,CCL5,pred
775,P02741,P08637,CRP,FCGR3A,pred
776,P02741,Q16653,CRP,MOG,pred
777,P02741,Q9HBG7,CRP,LY9,pred
778,P02741,Q969Y0,CRP,NXPE3,exp
779,P02741,P11277,CRP,SPTB,exp
780,P02741,P20823,CRP,HNF1A,pred
781,P02741,Q9NRB3,CRP,CHST12,exp
782,P02741,P04150,CRP,NR3C1,pred
783,P02741,Q13387,CRP,MAPK8IP2,exp
784,P02741,P18428,CRP,LBP,pred
785,P02741,P02760,CRP,AMBP,pred
786,P02741,P07942,CRP,LAMB1,exp
787,P02741,Q02539,CRP,HIST1H1A,exp
788,P02741,P27797,CRP,CALR,pred
789,P02741,P19838,CRP,NFKB1,pred
790,P02741,Q9UHC6,CRP,CNTNAP2,pred
791,P02741,Q9NQ25,CRP,SLAMF7,pred
792,P02741,Q9HBH1,CRP,PDF,exp
793,P02743,P31994,APCS,FCGR2B,exp;pred
794,P02745,P0C0L5,C1QA,C4B;C4B_2,pred
795,P02745,P20023,C1QA,CR2,pred
796,P02745,P23510,C1QA,TNFSF4,pred
797,P02746,P0C0L5,C1QB,C4B;C4B_2,pred
798,P02746,P11215,C1QB,ITGAM,pred
799,P02746,P19878,C1QB,NCF2,pred
800,P02746,P20023,C1QB,CR2,pred
801,P02746,P23510,C1QB,TNFSF4,pred
802,P02747,P0C0L5,C1QC,C4B;C4B_2,pred
803,P02747,P19878,C1QC,NCF2,pred
804,P02747,P20023,C1QC,CR2,pred
805,P02747,P23510,C1QC,TNFSF4,pred
806,P02748,P0C0L5,C9,C4B;C4B_2,pred
807,P02751,P0C0L4,FN1,C4A,exp
808,P02751,P0C0L5,FN1,C4B;C4B_2,pred
809,P02751,P11215,FN1,ITGAM,pred
810,P02751,P20023,FN1,CR2,pred
811,P02751,P31994,FN1,FCGR2B,pred
812,P02760,P16410,AMBP,CTLA4,pred
813,P02760,P24855,AMBP,DNASE1,pred
814,P02768,P0C0L4,ALB,C4A,exp
815,P02768,P31994,ALB,FCGR2B,pred
816,P02768,Q13546,ALB,RIPK1,pred
817,P02774,P24855,GC,DNASE1,pred
818,P02778,P21580,CXCL10,TNFAIP3,pred
819,P02790,P0C0L5,HPX,C4B;C4B_2,pred
820,P02790,Q13546,HPX,RIPK1,pred
821,P03372,P0C0L4,ESR1,C4A,exp
822,P03372,P29376,ESR1,LTK,pred
823,P03952,P0C0L5,KLKB1,C4B;C4B_2,pred
824,P04003,P0C0L4,C4BPA,C4A,exp;pred
825,P04003,P0C0L5,C4BPA,C4B;C4B_2,pred
826,P04003,P19878,C4BPA,NCF2,pred
827,P04003,P20023,C4BPA,CR2,pred
828,P04049,P21580,RAF1,TNFAIP3,pred
829,P04049,P29376,RAF1,LTK,exp
830,P04049,P31994,RAF1,FCGR2B,pred
831,P04049,Q13546,RAF1,RIPK1,pred
832,P04080,P11215,CSTB,ITGAM,pred
833,P04083,Q13546,ANXA1,RIPK1,exp
834,P04114,P11215,APOB,ITGAM,pred
835,P04141,P31994,CSF2,FCGR2B,pred
836,P04150,P21580,NR3C1,TNFAIP3,pred
837,P04179,P19878,SOD2,NCF2,pred
838,P04179,P21580,SOD2,TNFAIP3,pred
839,P04216,P11215,THY1,ITGAM,exp
840,P04216,P16410,THY1,CTLA4,pred
841,P04229,P16410,HLA-DRB1,CTLA4,pred
842,P04233,P0C0L5,CD74,C4B;C4B_2,pred
843,P04233,P11215,CD74,ITGAM,pred
844,P04233,P16410,CD74,CTLA4,pred
845,P04233,P19878,CD74,NCF2,pred
846,P04233,P31994,CD74,FCGR2B,pred
847,P04233,Q13546,CD74,RIPK1,pred
848,P04234,P16410,CD3D,CTLA4,pred
849,P04234,Q14765,CD3D,STAT4,pred
850,P04234,Q9Y2R2,CD3D,PTPN22,pred
851,P04271,Q13546,S100B,RIPK1,pred
852,P04271,Q9Y2R2,S100B,PTPN22,pred
853,P04275,P11215,VWF,ITGAM,pred
854,P04275,P16410,VWF,CTLA4,pred
855,P04280,P11215,PRB1,ITGAM,pred
856,P04350,P21580,TUBB4A,TNFAIP3,pred
857,P04350,Q13546,TUBB4A,RIPK1,exp;pred
858,P04350,Q13568,TUBB4A,IRF5,pred
859,P04406,P21580,GAPDH,TNFAIP3,pred
860,P04406,Q13546,GAPDH,RIPK1,pred
861,P04431,P11215,-,ITGAM,pred
862,P04439,P31994,HLA-A,FCGR2B,pred
863,P04440,P11215,HLA-DPB1,ITGAM,pred
864,P04440,P31994,HLA-DPB1,FCGR2B,pred
865,P04554,P11215,PRM2,ITGAM,pred
866,P04626,P16410,ERBB2,CTLA4,pred
867,P04626,P29376,ERBB2,LTK,pred
868,P04626,P31994,ERBB2,FCGR2B,pred
869,P04626,Q13546,ERBB2,RIPK1,pred
870,P04626,Q14765,ERBB2,STAT4,pred
871,P04626,Q9Y2R2,ERBB2,PTPN22,exp;pred
872,P04629,P11215,NTRK1,ITGAM,pred
873,P04629,P29376,NTRK1,LTK,pred
874,P04629,P31994,NTRK1,FCGR2B,pred
875,P04629,Q13546,NTRK1,RIPK1,pred
876,P04629,Q9Y2R2,NTRK1,PTPN22,exp;pred
877,P04637,P11215,TP53,ITGAM,pred
878,P04637,P20023,TP53,CR2,exp
879,P04637,P21580,TP53,TNFAIP3,exp;pred
880,P04637,Q13546,TP53,RIPK1,pred
881,P04637,Q14765,TP53,STAT4,pred
882,P04792,Q9Y2R2,HSPB1,PTPN22,exp
883,P04839,P11215,CYBB,ITGAM,pred
884,P04839,P19878,CYBB,NCF2,exp;ortho;pred
885,P04899,P19878,GNAI2,NCF2,exp
886,P04899,Q13546,GNAI2,RIPK1,pred
887,P04908,Q13546,HIST1H2AB;HIST1H2AE,RIPK1,pred
888,P05014,Q13568,IFNA4,IRF5,pred
889,P05015,Q13568,IFNA16,IRF5,pred
890,P05019,P21580,IGF1,TNFAIP3,pred
891,P05023,Q13546,ATP1A1,RIPK1,pred
892,P05067,Q13546,APP,RIPK1,pred
893,P05106,P11215,ITGB3,ITGAM,pred
894,P05106,P29376,ITGB3,LTK,pred
895,P05107,P11215,ITGB2,ITGAM,exp;pred
896,P05107,P19878,ITGB2,NCF2,pred
897,P05107,P20023,ITGB2,CR2,pred
898,P05107,P31994,ITGB2,FCGR2B,pred
899,P05107,Q9Y2R2,ITGB2,PTPN22,pred
900,P05109,P19878,S100A8,NCF2,exp
901,P05111,P16410,INHA,CTLA4,pred
902,P05129,P29376,PRKCG,LTK,pred
903,P05141,P21580,SLC25A5,TNFAIP3,pred
904,P05141,Q13546,SLC25A5,RIPK1,exp;pred
905,P05155,P0C0L4,SERPING1,C4A,pred
906,P05156,P0C0L4,CFI,C4A,pred
907,P05156,P0C0L5,CFI,C4B;C4B_2,exp;pred
908,P05156,P11215,CFI,ITGAM,pred
909,P05156,P19878,CFI,NCF2,pred
910,P05156,P20023,CFI,CR2,pred
911,P05161,Q13568,ISG15,IRF5,pred
912,P05161,Q14765,ISG15,STAT4,pred
913,P05231,P16410,IL6,CTLA4,pred
914,P05231,P21580,IL6,TNFAIP3,pred
915,P05362,P0C0L5,ICAM1,C4B;C4B_2,pred
916,P05362,P11215,ICAM1,ITGAM,exp;pred
917,P05362,P21580,ICAM1,TNFAIP3,pred
918,P05362,P31994,ICAM1,FCGR2B,pred
919,P05362,Q13546,ICAM1,RIPK1,pred
920,P05387,Q13546,RPLP2,RIPK1,pred
921,P05412,Q13546,JUN,RIPK1,pred
922,P05412,Q14765,JUN,STAT4,exp;ortho;pred
923,P05556,P11215,ITGB1,ITGAM,pred
924,P05771,Q13546,PRKCB,RIPK1,pred
925,P05771,Q14765,PRKCB,STAT4,pred
926,P05783,P21580,KRT18,TNFAIP3,pred
927,P05783,Q13546,KRT18,RIPK1,pred
928,P06127,P16410,CD5,CTLA4,pred
929,P06127,P29376,CD5,LTK,pred
930,P06127,Q9Y2R2,CD5,PTPN22,pred
931,P06213,P19878,INSR,NCF2,pred
932,P06213,P29376,INSR,LTK,pred
933,P06213,P31994,INSR,FCGR2B,pred
934,P06213,Q13546,INSR,RIPK1,pred
935,P06213,Q14765,INSR,STAT4,pred
936,P06213,Q9Y2R2,INSR,PTPN22,pred
937,P06239,P16410,LCK,CTLA4,exp;pred
938,P06239,P19878,LCK,NCF2,pred
939,P06239,P29376,LCK,LTK,pred
940,P06239,P31994,LCK,FCGR2B,pred
941,P06239,Q13546,LCK,RIPK1,pred
942,P06239,Q14765,LCK,STAT4,pred
943,P06239,Q15116,LCK,PDCD1,pred
944,P06239,Q9Y2R2,LCK,PTPN22,exp;pred
945,P06241,P0C0L5,FYN,C4B;C4B_2,pred
946,P06241,P16410,FYN,CTLA4,exp;ortho;pred
947,P06241,P19878,FYN,NCF2,pred
948,P06241,P20023,FYN,CR2,pred
949,P06241,P29376,FYN,LTK,pred
950,P06241,P31994,FYN,FCGR2B,exp;pred
951,P06241,Q13546,FYN,RIPK1,pred
952,P06241,Q14765,FYN,STAT4,pred
953,P06241,Q15116,FYN,PDCD1,pred
954,P06241,Q9Y2R2,FYN,PTPN22,pred
955,P06340,P11215,HLA-DOA,ITGAM,pred
956,P06340,P16410,HLA-DOA,CTLA4,pred
957,P06340,P31994,HLA-DOA,FCGR2B,pred
958,P06396,P24855,GSN,DNASE1,pred
959,P06396,Q13546,GSN,RIPK1,pred
960,P06401,P0C0L4,PGR,C4A,exp
961,P06454,Q9NSU2,PTMA,TREX1,pred
962,P06576,P21580,ATP5B,TNFAIP3,pred
963,P06681,P0C0L4,C2,C4A,pred
964,P06681,P0C0L5,C2,C4B;C4B_2,exp;pred
965,P06681,P11215,C2,ITGAM,pred
966,P06681,P19878,C2,NCF2,pred
967,P06702,P11215,S100A9,ITGAM,pred
968,P06702,P19878,S100A9,NCF2,exp;pred
969,P06729,P11215,CD2,ITGAM,pred
970,P06729,P16410,CD2,CTLA4,pred
971,P06729,P31994,CD2,FCGR2B,pred
972,P06729,Q14765,CD2,STAT4,pred
973,P06729,Q9Y2R2,CD2,PTPN22,pred
974,P06731,P31994,CEACAM5,FCGR2B,pred
975,P06733,Q13546,ENO1,RIPK1,pred
976,P06734,P0C0L5,FCER2,C4B;C4B_2,pred
977,P06734,P20023,FCER2,CR2,exp;pred
978,P06734,Q14765,FCER2,STAT4,pred
979,P06753,P24855,TPM3,DNASE1,pred
980,P06753,Q13546,TPM3,RIPK1,pred
981,P06756,P11215,ITGAV,ITGAM,pred
982,P07195,Q9Y2R2,LDHB,PTPN22,pred
983,P07202,P0C0L4,TPO,C4A,pred
984,P07203,P19878,GPX1,NCF2,pred
985,P07204,P11215,THBD,ITGAM,pred
986,P07307,P11215,ASGR2,ITGAM,pred
987,P07332,P29376,FES,LTK,pred
988,P07332,Q13546,FES,RIPK1,pred
989,P07332,Q14765,FES,STAT4,pred
990,P07333,P11215,CSF1R,ITGAM,pred
991,P07333,P29376,CSF1R,LTK,pred
992,P07333,Q13546,CSF1R,RIPK1,pred
993,P07333,Q9Y2R2,CSF1R,PTPN22,pred
994,P07357,P0C0L5,C8A,C4B;C4B_2,pred
995,P07358,P0C0L5,C8B,C4B;C4B_2,pred
996,P07358,P20023,C8B,CR2,pred
997,P07359,P11215,GP1BA,ITGAM,pred
998,P07360,P0C0L5,C8G,C4B;C4B_2,pred
999,P07360,P16410,C8G,CTLA4,pred
1000,P07437,P21580,TUBB,TNFAIP3,pred
1001,P07437,Q13546,TUBB,RIPK1,exp;pred
1002,P07437,Q13568,TUBB,IRF5,pred
1003,P07550,Q13546,ADRB2,RIPK1,pred
1004,P07550,Q14765,ADRB2,STAT4,exp
1005,P07711,P0C0L4,CTSL,C4A,exp
1006,P07711,P19878,CTSL,NCF2,pred
1007,P07738,P19878,BPGM,NCF2,exp
1008,P07766,P11215,CD3E,ITGAM,pred
1009,P07766,P16410,CD3E,CTLA4,pred
1010,P07766,P20023,CD3E,CR2,pred
1011,P07766,P29376,CD3E,LTK,pred
1012,P07766,P31994,CD3E,FCGR2B,pred
1013,P07766,Q9Y2R2,CD3E,PTPN22,exp;pred
1014,P07814,P21580,EPRS,TNFAIP3,pred
1015,P07814,Q13546,EPRS,RIPK1,pred
1016,P07858,P19878,CTSB,NCF2,pred
1017,P07900,P21580,HSP90AA1,TNFAIP3,exp;pred
1018,P07900,Q13546,HSP90AA1,RIPK1,exp;pred
1019,P07900,Q13568,HSP90AA1,IRF5,pred
1020,P07947,P16410,YES1,CTLA4,pred
1021,P07947,P29376,YES1,LTK,pred
1022,P07947,Q13546,YES1,RIPK1,pred
1023,P07947,Q14765,YES1,STAT4,pred
1024,P07948,P16410,LYN,CTLA4,exp;ortho
1025,P07948,P19878,LYN,NCF2,pred
1026,P07948,P20023,LYN,CR2,pred
1027,P07948,P29376,LYN,LTK,pred
1028,P07948,P31994,LYN,FCGR2B,exp;pred
1029,P07948,Q13546,LYN,RIPK1,pred
1030,P07948,Q8NDB2,LYN,BANK1,exp
1031,P07949,P29376,RET,LTK,pred
1032,P07949,P31994,RET,FCGR2B,pred
1033,P07949,Q13546,RET,RIPK1,pred
1034,P07949,Q9Y2R2,RET,PTPN22,pred
1035,P07954,Q9Y2R2,FH,PTPN22,pred
1036,P07996,P0C0L5,THBS1,C4B;C4B_2,pred
1037,P07996,P11215,THBS1,ITGAM,pred
1038,P07996,P19878,THBS1,NCF2,pred
1039,P07996,Q13546,THBS1,RIPK1,pred
1040,P08047,P31994,SP1,FCGR2B,pred
1041,P08069,P21580,IGF1R,TNFAIP3,pred
1042,P08069,P29376,IGF1R,LTK,pred
1043,P08069,Q13546,IGF1R,RIPK1,pred
1044,P08069,Q14765,IGF1R,STAT4,pred
1045,P08107,Q13546,-,RIPK1,pred
1046,P08133,P20023,ANXA6,CR2,exp
1047,P08138,Q13546,NGFR,RIPK1,pred
1048,P08174,P0C0L5,CD55,C4B;C4B_2,pred
1049,P08174,P19878,CD55,NCF2,pred
1050,P08238,P19878,HSP90AB1,NCF2,exp
1051,P08238,P21580,HSP90AB1,TNFAIP3,exp;pred
1052,P08238,Q13546,HSP90AB1,RIPK1,exp;pred
1053,P08238,Q13568,HSP90AB1,IRF5,pred
1054,P08238,Q9NSU2,HSP90AB1,TREX1,exp
1055,P08246,P11215,ELANE,ITGAM,exp
1056,P08294,P19878,SOD3,NCF2,pred
1057,P08476,P16410,INHBA,CTLA4,pred
1058,P08476,P23510,INHBA,TNFSF4,pred
1059,P08514,P11215,ITGA2B,ITGAM,pred
1060,P08567,P11215,PLEK,ITGAM,pred
1061,P08567,P19878,PLEK,NCF2,pred
1062,P08567,P21580,PLEK,TNFAIP3,pred
1063,P08571,P11215,CD14,ITGAM,exp
1064,P08571,P19878,CD14,NCF2,pred
1065,P08575,P11215,PTPRC,ITGAM,pred
1066,P08575,P16410,PTPRC,CTLA4,pred
1067,P08575,P19878,PTPRC,NCF2,pred
1068,P08575,P31994,PTPRC,FCGR2B,pred
1069,P08575,Q13546,PTPRC,RIPK1,pred
1070,P08575,Q9Y2R2,PTPRC,PTPN22,pred
1071,P08581,P29376,MET,LTK,pred
1072,P08581,P31994,MET,FCGR2B,pred
1073,P08581,Q9Y2R2,MET,PTPN22,pred
1074,P08603,P0C0L4,CFH,C4A,pred
1075,P08603,P0C0L5,CFH,C4B;C4B_2,pred
1076,P08603,P11215,CFH,ITGAM,exp;pred
1077,P08603,P19878,CFH,NCF2,pred
1078,P08603,P20023,CFH,CR2,pred
1079,P08631,P11215,HCK,ITGAM,pred
1080,P08631,P19878,HCK,NCF2,pred
1081,P08631,P29376,HCK,LTK,pred
1082,P08631,P31994,HCK,FCGR2B,pred
