,interactor
1713,TRIM3
1714,NLRP3
1715,SOCS7
1716,GABARAP
1717,C1QL1
1718,MYC
1719,MAP3K7
1720,NR3C1
1721,KLC3
1722,TEC
1723,EDC3
1724,MTMR14
1725,PRKDC
1726,DNASE2
1727,SNX27
1728,IFNA1
1729,PIAS4
1730,PIM2
1731,EPHA2
1732,HAVCR1
1733,POLD3
1734,BTN3A3
1735,IFNA2
1736,RNF31
1737,HUNK
1738,PAK1
1739,LILRB1
1740,EREG
1741,CLEC4M
1742,EPHB3
1743,PGR
1744,PTX3
1745,TMEM126B
1746,ZFAND5
1747,VSIG2
1748,OPTN
1749,BCL2L11
1750,MPI
1751,STRADB
1752,ADIPOQ
1753,XPOT
1754,MERTK
1755,CD84
1756,CDC37
1757,PTPRR
1758,SLC25A6
1759,DDX58
1760,ISG15
1761,VRK3
1762,ITGAX
1763,PHKG1
1764,AFDN
1765,SRMS
1766,VAMP4
1767,HIST1H1A
1768,KPNA1
1769,NOCT
1770,NFKBIE
1771,OSBPL3
1772,MUSK
1773,SCN2B
1774,RAB8A
1775,IGHG2
1776,EPS8
1777,MAP2K1
1778,PCDHGA12
1779,PYDC1
1780,UBASH3B
1781,PRKCH
1782,COL6A2
1783,ALDH9A1
1784,PDZD4
1785,INS
1786,ASB8
1787,DNASE1L2
1788,ITPR1
1789,ARHGEF3
1790,SOD2
1791,HSPD1
1792,EPHA1
1793,VHL
1794,PCDHA12
1795,CCDC102B
1796,HLA-DRB5
1797,COPS3
1798,FGD4
1799,RHOH
1800,HP
1801,ACP2
1802,RHBDD3
1803,SEMA7A
1804,LAMC3
1805,IGHG1
1806,CRYBB3
1807,HSP90B1
1808,ITGA9
1809,TRIM5
1810,DHRS3
1811,PRDM1
1812,SMAD7
1813,ITGB4
1814,HIPK3
1815,DMP1
1816,PSME2
1817,CELSR3
1818,ASB11
1819,UGP2
1820,ASB9
1821,SPARC
1822,BCL2
1823,IKBKE
1824,UBE2NL
1825,TRAF1
1826,SAMSN1
1827,OTUD7A
1828,PDE6G
1829,IL23A
1830,APOA2
1831,MARS
1832,GJA3
1833,GPX7
1834,RUSC2
1835,COLEC12
1836,GNAI3
1837,ESS2
1838,LMTK2
1839,TNFRSF1B
1840,IRF7
1841,HMGB2
1842,VCP
1843,MAST4
1844,ARRB1
1845,YWHAZ
1846,SIGLEC7
1847,AXIN1
1848,XAF1
1849,NTN1
1850,DBN1
1851,SHKBP1
1852,STAU1
1853,MS4A4A
1854,LARP1
1855,CISH
1856,BAD
1857,ASAP1
1858,CCAR2
1859,NOX3
1860,USP7
1861,FCER2
1862,MAP3K11
1863,RPS27L
1864,SSH2
1865,TYRO3
1866,SOS1
1867,TIFA
1868,IRF5
1869,MAP3K4
1870,ZAP70
1871,GLDC
1872,ZNF143
1873,HIST1H4I
1874,STRBP
1875,FGFR1
1876,HOXA10
1877,CASP2
1878,FCGR2A
1879,GZMA
1880,TFG
1881,SPACA3
1882,SH2D1A
1883,SOCS1
1884,SET
1885,RPLP2
1886,F2RL2
1887,GGA3
1888,COL4A2
1889,EDA2R
1890,INHBA
1891,ITGB7
1892,EPS8L3
1893,CACNA2D4
1894,IFI27
1895,UBE2D3
1896,CFLAR
1897,LRBA
1898,TRAF2
1899,EPRS
1900,CHCHD2
1901,AP2M1
1902,ABI3
1903,SP110
1904,INTS6L
1905,GCN1
1906,TREX2
1907,IL1B
1908,ERG28
1909,STAMBP
1910,BCL6
1911,MAP4K2
1912,IL10
1913,TRAF5
1914,PRKCQ
1915,LAMB1
1916,BABAM2
1917,SLC28A3
1918,SH3D21
1919,JAK3
1920,MINK1
1921,TMUB1
1922,CASP3
1923,DDRGK1
1924,ABL1
1925,UBC
1926,CAMK2B
1927,UACA
1928,TRIM32
1929,SPTBN1
1930,SPG21
1931,OLR1
1932,ACTB
1933,TLR7
1934,SMPDL3B
1935,TRIM25
1936,ITGB6
1937,PTPRC
1938,MYO1D
1939,CDK14
1940,SLC26A1
1941,STK3
1942,ROBO1
1943,SSBP3
1944,MYL6
1945,COPS8
1946,ARHGEF9
1947,SP100
1948,AMHR2
1949,TSSK1B
1950,LCK
1951,INPP5D
1952,EPHA4
1953,ARF6
1954,AKT1S1
1955,CANT1
1956,IL1A
1957,TNFAIP3
1958,NPTX1
1959,STAC2
1960,CTLA4
1961,CDKN1A
1962,PPP6C
1963,NCF1C
1964,ATP2B2
1965,CX3CL1
1966,CTNNB1
1967,PKMYT1
1968,MYO1F
1969,EIF3E
1970,LAPTM5
1971,SFN
1972,CASP1
1973,MALT1
1974,VCAM1
1975,NCF1B
1976,NRAS
1977,IL12RB2
1978,MCM6
1979,ZMYND11
1980,SRGAP2
1981,GSN
1982,LZTS2
1983,HSP70-1
1984,CLEC7A
1985,FCGR3A
1986,MARK3
1987,ACVR1C
1988,IL1RL1
1989,SUMO1
1990,OTUD7B
1991,PLEK
1992,PRKCA
1993,TNFSF14
1994,PTX4
1995,CCS
1996,ROBO2
1997,NXF1
1998,SPEG
1999,RPA1
2000,NRK
2001,SPINK5
2002,LIMK2
2003,FRK
2004,CASP6
2005,OSMR
2006,CD274
2007,CLCA2
2008,PLEKHA7
2009,C1QB
2010,IGSF6
2011,MSN
2012,IL32
2013,SMURF2
2014,NPHP1
2015,SCIN
2016,EEF1D
2017,BUB1B
2018,LGALS13
2019,PTPN1
2020,RPS27
2021,MYH9
2022,BIN2
2023,MAP3K1
2024,RFFL
2025,PXDNL
2026,CFL1
2027,CDK7
2028,ABI1
2029,PLA2G4A
2030,STAT3
2031,CD55
2032,YWHAH
2033,CPNE6
2034,CAMK2A
2035,LIMK1
2036,PELI1
2037,CTTN
2038,CD46
2039,COPS6
2040,DYRK1A
2041,BID
2042,EPB42
2043,RNF114
2044,IRAK1
2045,WNT6
2046,EP300
2047,NOX1
2048,IRS4
2049,TRAP1
2050,TTN
2051,TREM2
2052,CD3G
2053,SYNJ1
2054,IL18
2055,IFNA13
2056,EPHB4
2057,HSPA6
2058,DUSP8
2059,VIM
2060,DEF6
2061,CSTB
2062,RTL8C
2063,UBQLN1
2064,ACTG1
2065,RPS6KA1
2066,ALK
2067,ARAP1
2068,TNFRSF10B
2069,CD2AP
2070,RPS14
2071,MAPK15
2072,SLC15A1
2073,PIAS2
2074,IRS1
2075,BCL10
2076,CD247
2077,STK17B
2078,RRAS2
2079,NDST2
2080,PDF
2081,STAT4
2082,SGK3
2083,RELN
2084,GRK5
2085,PKN2
2086,NFYA
2087,NTSR2
2088,TPM3
2089,CORO1A
2090,CASP8
2091,IL21
2092,RAP1A
2093,HLA-DPA1
2094,EPHB2
2095,IL12B
2096,CARD9
2097,PI4KB
2098,PRMT2
2099,CXADR
2100,FBXO3
2101,PSKH1
2102,PASK
2103,CBLB
2104,NGEF
2105,VWA3B
2106,BTNL2
2107,ACP5
2108,HAVCR2
2109,TNFRSF13C
2110,RIN3
2111,RIMBP3
2112,TSSK4
2113,GPR98
2114,RPL23
2115,RNF25
2116,SLC25A5
2117,CRKL
2118,GSK3B
2119,CSNK1D
2120,WDFY3
2121,DFFB
2122,SIK1
2123,SLC6A7
2124,GFRA4
2125,GDPD1
2126,COL12A1
2127,NFKB1
2128,APP
2129,PLEKHO2
2130,KCNK3
2131,HIST1H4K
2132,UBQLNL
2133,PCDHA13
2134,APOB
2135,ABHD18
2136,B4GALT7
2137,NOS2
2138,FGA
2139,SLAMF9
2140,COL3A1
2141,LAT2
2142,FCN2
2143,SH2B3
2144,PPM1G
2145,EPHA8
2146,COL28A1
2147,NOXA1
2148,KIF7
2149,GIT2
2150,FLNC
2151,NCR3
2152,STAC3
2153,PATZ1
2154,CSPG4
2155,VAV1
2156,PCDHGB3
2157,ACIN1
2158,DAD1
2159,BFAR
2160,NCAN
2161,COL8A2
2162,LAMA1
2163,TRIM16
2164,MCM2
2165,AIFM1
2166,XIAP
2167,S100A8
2168,EFNA1
2169,NTRK1
2170,IRF2
2171,PDGFRA
2172,GIMAP5
2173,ITGA6
2174,GNS
2175,BAG3
2176,SRC
2177,RPS6KC1
2178,ACVR2A
2179,PPP2R5A
2180,LCP2
2181,CFHR1
2182,WSB2
2183,CCR1
2184,PRKACG
2185,SLC6A2
2186,BIRC7
2187,IARS
2188,CIT
2189,MASP1
2190,PDCD1LG2
2191,ESD
2192,APEX1
2193,CD180
2194,INSRR
2195,DMPK
2196,VKORC1
2197,GRB2
2198,LDHB
2199,SH3RF3
2200,PGAM5
2201,IL13RA1
2202,CCR7
2203,TNIP3
2204,CD2
2205,NUB1
2206,UBE2V1
2207,TUBA3C
2208,DAB2IP
2209,FKBP1A
2210,SOCS5
2211,FGG
2212,AIF1L
