,interactor
413,RIPK3
414,VRK2
415,CNKSR1
416,IKZF1
417,PDLIM2
418,IFNA4
419,CLC
420,TNFRSF19
421,IQGAP2
422,PTPRE
423,ATAD3A
424,ROBO4
425,SPART
426,CD1D
427,BLK
428,SELE
429,PTMA
430,ICAM3
431,SOS2
432,HTT
433,CDK16
434,CLK2
435,TREM1
436,NCOA3
437,USP2
438,ATG7
439,GRK4
440,SUSD3
441,CAPZB
442,CYBB
443,WASF1
444,CEACAM1
445,NCR2
446,C4B
447,VARS
448,IGLL1
449,TLR4
450,CCT2
451,BTK
452,NFKB2
453,ASB15
454,CD47
455,PTPN6
456,TLN1
457,PTPRK
458,HLA-DRB1
459,STIM1
460,DUSP1
461,SRPK2
462,P2RY2
463,TOLLIP
464,PAK2
465,RAPGEF1
466,SOCS3
467,RUSC1
468,FANCD2
469,SCGB1A1
470,SLC7A7
471,VSIG1
472,ROS1
473,STAC
474,IL7
475,SLC26A6
476,IFT20
477,RNF11
478,STAT2
479,SASH3
480,C1QA
481,DAB2
482,MARK1
483,NCAM1
484,KALRN
485,PABPC1
486,ACTN4
487,GAPDH
488,VAV2
489,IGHG3
490,S100B
491,DVL2
492,TRAF7
493,MAP2K3
494,BIRC2
495,CDH13
496,CD5L
497,FYN
498,LYN
499,ERN1
500,KIFAP3
501,DNM1L
502,ACAN
503,PLD2
504,PTPN2
505,ITSN2
506,TMUB2
507,ANKRD13D
508,NDUFA9
509,SH2D3C
510,FCER1G
511,EIF4G1
512,PRKG1
513,RNF125
514,FCAR
515,RUVBL2
516,C4A
517,ANP32A
518,SPPL3
519,RPL11
520,HSPB1
521,ARRB2
522,TRIB1
523,DENND4A
524,ATXN1
525,CD74
526,ARFGEF2
527,YWHAE
528,TICAM1
529,PIP4K2C
530,ITGAV
531,RASSF8
532,ANXA6
533,CD22
534,BIRC3
535,LTA
536,RALBP1
537,IL15
538,CASP10
539,COL22A1
540,RBMS1
541,SLC25A28
542,LCP1
543,PSMD13
544,NEK5
545,RPL13A
546,CD96
547,ICAM2
548,PSME1
549,EPHB6
550,IRS2
551,MAP4K1
552,CD48
553,ERN2
554,UBXN7
555,ITGA1
556,CNTNAP3
557,PARD6A
558,STARD13
559,CYLD
560,ITGB3
561,MYD88
562,SMDT1
563,MKNK2
564,SIRPA
565,WAS
566,OSTF1
567,ATP1A1
568,ASB13
569,RCN2
570,SLC5A11
571,RALGPS2
572,CXCL1
573,INTS14
574,IL31RA
575,ZNF835
576,SIRPB1
577,SIAH1
578,PEA15
579,HIST1H4A
580,FCRL5
581,STK40
582,TXK
583,MIB1
584,CASP8AP2
585,SOCS6
586,TANK
587,SNRNP70
588,CCL8
589,SLC25A19
590,NCOR1
591,USP47
592,CRADD
593,SERPING1
594,APOE
595,NCOR2
596,ARHGDIG
597,ADAMTS1
598,CCT4
599,SYK
600,PKM
601,AZI2
602,CD302
603,SAMHD1
604,BTN2A2
605,CCNE2
606,BMP2K
607,CD8A
608,LAX1
609,MAP3K2
610,FGD6
611,APC
612,TMEM184B
613,BNIP2
614,PAPPA
615,FCGR2B
616,ATP5B
617,CD72
618,CD163
619,HNRNPM
620,PTPN9
621,FGB
622,DYRK2
623,GRIP1
624,FHL2
625,EGLN3
626,HIST1H2AB
627,MADD
628,PIM1
629,ROCK1
630,TUBA4A
631,TAF1B
632,PPFIBP1
633,PTPRJ
634,PTPRZ1
635,SIGLEC5
636,CASP7
637,TP63
638,NCAM2
639,DNAJA3
640,CD160
641,ASB10
642,DBNL
643,PVR
644,CAPZA1
645,RASA1
646,TRIM23
647,BIRC5
648,HTRA2
649,SDF4
650,OXSR1
651,DGKZ
652,MAPKAPK5
653,IL6
654,TIMP3
655,CDK3
656,PPP2R1B
657,ERRFI1
658,TREX1
659,GTPBP2
660,CXCL10
661,NTRK3
662,CSNK2A1
663,BCAR1
664,BCL2A1
665,DGKD
666,CENPJ
667,CD63
668,IL27RA
669,GNAI2
670,MMP12
671,PECAM1
672,S100A13
673,NEDD9
674,HIST1H4B
675,SCO2
676,PTPN11
677,PLCG2
678,MYH10
679,CST3
680,CYTIP
681,RELA
682,TNFRSF18
683,KLC2
684,DNAJB1
685,NKAP
686,IFIT1
687,GRIN1
688,PKN1
689,SMAD1
690,MYO6
691,TNFSF13
692,NOD2
693,CDH2
694,HSPA4
695,B4GALT1
696,RASD2
697,CTSO
698,HIVEP3
699,MAP3K6
700,CCT8
701,EPHA5
702,C5
703,CAST
704,WASL
705,PLSCR1
706,TAPBPL
707,DUOX1
708,CADM3
709,ASB3
710,LTF
711,SIGLEC8
712,IRAK1BP1
713,SNAI1
714,MRAS
715,ATM
716,IL1RAPL1
717,PRKD3
718,PCDH12
719,ARHGEF2
720,BECN1
721,MED15
722,MED4
723,RNF14
724,ACAD8
725,CD3D
726,PRB1
727,C3
728,CCL2
729,EXT1
730,DUSP5
731,NCF2
732,PTPRF
733,PILRA
734,A1CF
735,UBE2E1
736,SIGLEC10
737,TLR10
738,RIMBP3B
739,SIGLEC1
740,PTPN5
741,TRPC7
742,ENO1
743,USH2A
744,MR1
745,MARK2
746,ELAVL1
747,BLNK
748,CARD6
749,SOX1
750,ELF4
751,HNRNPK
752,LASP1
753,TGFBI
754,BCR
755,CFP
756,TMEM173
757,AP1M1
758,CSMD3
759,RAPGEFL1
760,FCGR3B
761,ANXA1
762,SHH
763,BLM
764,PDGFRB
765,SKAP2
766,HIST1H4F
767,CXCL9
768,CCND1
769,PGM2
770,PCDHGA5
771,RPS15A
772,LRRK2
773,IGF1
774,MYO3A
775,NFAM1
776,PLCE1
777,ADRB2
778,DNASE1
779,NXPE3
780,LILRB3
781,CDC25A
782,GAB1
783,TIMM50
784,TNFRSF1A
785,SNX9
786,UBL4B
787,DEFA5
788,MS4A2
789,TRAT1
790,PCDH18
791,ELP1
792,PPP1CA
793,NRIP1
794,CDC42
795,NT5DC2
796,NEK4
797,IRAK3
798,TNFSF4
799,CDR1
800,IL6ST
