"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"O95498","P11215","VNN2","ITGAM","pred"
"O95502","P02741","NPTXR","CRP","pred"
"O95630","P21580","STAMBP","TNFAIP3","pred"
"O95630","Q13546","STAMBP","RIPK1","pred"
"O95631","P0C0L4","NTN1","C4A","pred"
"O95644","Q15116","NFATC1","PDCD1","pred"
"O95665","P24855","NTSR2","DNASE1","pred"
"O95711","P19878","LY86","NCF2","pred"
"O95714","Q13546","HERC2","RIPK1","exp"
"O95727","P02741","CRTAM","CRP","pred"
"O95727","P0C0L5","CRTAM","C4B;C4B_2","pred"
"O95727","P11215","CRTAM","ITGAM","pred"
"O95727","P16410","CRTAM","CTLA4","pred"
"O95727","P23510","CRTAM","TNFSF4","pred"
"O95741","P24855","CPNE6","DNASE1","pred"
"O95747","Q13546","OXSR1","RIPK1","pred"
"O95751","P16410","LDOC1","CTLA4","pred"
"O95786","P21580","DDX58","TNFAIP3","exp"
"O95786","Q13568","DDX58","IRF5","pred"
"O95793","P19878","STAU1","NCF2","pred"
"O95793","Q13546","STAU1","RIPK1","pred"
"O95816","P21580","BAG2","TNFAIP3","pred"
"O95816","Q13546","BAG2","RIPK1","pred"
"O95817","Q13546","BAG3","RIPK1","pred"
"O95819","Q13546","MAP4K4","RIPK1","pred"
"O95831","Q13546","AIFM1","RIPK1","pred"
"O95835","Q13546","LATS1","RIPK1","pred"
"O95863","P21580","SNAI1","TNFAIP3","exp;ortho"
"O95944","P24855","NCR2","DNASE1","pred"
"O95965","P11215","ITGBL1","ITGAM","pred"
"O95971","P19878","CD160","NCF2","pred"
"O95976","P11215","IGSF6","ITGAM","pred"
"O95976","P19878","IGSF6","NCF2","pred"
"O95976","P31994","IGSF6","FCGR2B","pred"
"O95990","P24855","FAM107A","DNASE1","pred"
"O95998","P11215","IL18BP","ITGAM","pred"
"O95999","P19878","BCL10","NCF2","pred"
"O95999","P21580","BCL10","TNFAIP3","pred"
"O95999","Q13546","BCL10","RIPK1","ortho;pred"
"O95999","Q9Y2R2","BCL10","PTPN22","pred"
"O96000","Q9Y2R2","NDUFB10","PTPN22","exp"
"O96013","P21580","PAK4","TNFAIP3","pred"
"O96013","Q13546","PAK4","RIPK1","pred"
"O96017","Q13546","CHEK2","RIPK1","pred"
"O96020","P21580","CCNE2","TNFAIP3","pred"
"P00367","P02741","GLUD1","CRP","exp"
"P00367","Q9Y2R2","GLUD1","PTPN22","exp"
"P00441","P19878","SOD1","NCF2","pred"
"P00488","P11215","F13A1","ITGAM","pred"
"P00519","P16410","ABL1","CTLA4","pred"
"P00519","P19878","ABL1","NCF2","pred"
"P00519","P29376","ABL1","LTK","pred"
"P00519","P31994","ABL1","FCGR2B","pred"
"P00519","Q13546","ABL1","RIPK1","pred"
"P00519","Q14765","ABL1","STAT4","pred"
"P00519","Q9Y2R2","ABL1","PTPN22","pred"
"P00533","P21580","EGFR","TNFAIP3","pred"
"P00533","P24855","EGFR","DNASE1","pred"
"P00533","P29376","EGFR","LTK","exp;pred"
"P00533","P31994","EGFR","FCGR2B","pred"
"P00533","Q13546","EGFR","RIPK1","exp;pred"
"P00533","Q14765","EGFR","STAT4","pred"
"P00533","Q9Y2R2","EGFR","PTPN22","exp;pred"
"P00736","P0C0L4","C1R","C4A","pred"
"P00736","P0C0L5","C1R","C4B;C4B_2","pred"
"P00736","P19878","C1R","NCF2","pred"
"P00736","P20023","C1R","CR2","pred"
"P00736","P31994","C1R","FCGR2B","pred"
"P00736","Q9Y2R2","C1R","PTPN22","pred"
"P00738","P0C0L4","HP","C4A","pred"
"P00738","P11215","HP","ITGAM","exp"
"P00746","P0C0L5","CFD","C4B;C4B_2","pred"
"P00746","P19878","CFD","NCF2","pred"
"P00747","Q13609","PLG","DNASE1L3","pred"
"P00748","P0C0L5","F12","C4B;C4B_2","pred"
"P00748","P20023","F12","CR2","pred"
"P00749","P31994","PLAU","FCGR2B","pred"
"P00751","P0C0L4","CFB","C4A","pred"
"P00751","P0C0L5","CFB","C4B;C4B_2","pred"
"P00751","P11215","CFB","ITGAM","pred"
"P00751","P20023","CFB","CR2","pred"
"P01009","P02741","SERPINA1","CRP","pred"
"P01019","Q13546","AGT","RIPK1","pred"
"P01023","P0C0L5","A2M","C4B;C4B_2","pred"
"P01023","P11215","A2M","ITGAM","pred"
"P01023","P16410","A2M","CTLA4","pred"
"P01023","P19878","A2M","NCF2","pred"
"P01023","P20023","A2M","CR2","pred"
"P01024","P02741","C3","CRP","pred"
"P01024","P0C0L4","C3","C4A","pred"
"P01024","P0C0L5","C3","C4B;C4B_2","pred"
"P01024","P11215","C3","ITGAM","exp;pred"
"P01024","P19878","C3","NCF2","pred"
"P01024","P20023","C3","CR2","exp;pred"
"P01031","P02741","C5","CRP","pred"
"P01031","P0C0L4","C5","C4A","pred"
"P01031","P0C0L5","C5","C4B;C4B_2","pred"
"P01031","P11215","C5","ITGAM","pred"
"P01031","P20023","C5","CR2","pred"
"P01034","P0C0L4","CST3","C4A","exp"
"P01034","P0C0L5","CST3","C4B;C4B_2","pred"
"P01106","P0C0L4","MYC","C4A","exp"
"P01111","P19878","NRAS","NCF2","pred"
"P01133","Q13546","EGF","RIPK1","pred"
"P01137","P11215","TGFB1","ITGAM","pred"
"P01137","P16410","TGFB1","CTLA4","pred"
"P01137","P23510","TGFB1","TNFSF4","pred"
"P01137","Q13546","TGFB1","RIPK1","pred"
"P01243","P24855","-","DNASE1","pred"
"P01308","Q13546","INS","RIPK1","pred"
"P01374","Q13546","LTA","RIPK1","exp;pred"
"P01375","P02741","TNF","CRP","pred"
"P01375","P21580","TNF","TNFAIP3","exp;pred"
"P01375","P23510","TNF","TNFSF4","pred"
"P01375","Q13546","TNF","RIPK1","exp;ortho;pred"
"P01375","Q13568","TNF","IRF5","exp"
"P01562","P20023","IFNA1;IFNA13","CR2","exp"
"P01563","Q13568","IFNA2","IRF5","pred"
"P01574","P21580","IFNB1","TNFAIP3","pred"
"P01574","Q13568","IFNB1","IRF5","pred"
"P01583","P16410","IL1A","CTLA4","pred"
"P01584","P11215","IL1B","ITGAM","pred"
"P01584","P16410","IL1B","CTLA4","pred"
"P01584","P19878","IL1B","NCF2","pred"
"P01584","P21580","IL1B","TNFAIP3","ortho"
"P01584","Q13546","IL1B","RIPK1","ortho"
"P01584","Q14765","IL1B","STAT4","pred"
"P01589","P0C0L4","IL2RA","C4A","pred"
"P01589","P16410","IL2RA","CTLA4","pred"
"P01589","P20023","IL2RA","CR2","pred"
"P01600","P11215","-","ITGAM","pred"
"P01730","P11215","CD4","ITGAM","pred"
"P01730","P16410","CD4","CTLA4","pred"
"P01730","Q9Y2R2","CD4","PTPN22","pred"
"P01732","P0C0L5","CD8A","C4B;C4B_2","pred"
"P01732","P11215","CD8A","ITGAM","pred"
"P01732","P16410","CD8A","CTLA4","pred"
"P01732","P31994","CD8A","FCGR2B","pred"
"P01732","Q14765","CD8A","STAT4","pred"
"P01834","P31994","IGKC","FCGR2B","pred"
"P01857","P21580","IGHG1","TNFAIP3","pred"
"P01857","P31994","IGHG1","FCGR2B","exp;pred"
"P01857","Q13546","IGHG1","RIPK1","pred"
"P01859","P31994","IGHG2","FCGR2B","pred"
"P01860","P31994","IGHG3","FCGR2B","pred"
"P01861","P31994","IGHG4","FCGR2B","pred"
"P01889","P31994","HLA-B","FCGR2B","pred"
"P01891","P16410","HLA-A","CTLA4","pred"
"P01892","P16410","HLA-A","CTLA4","pred"
"P01903","P11215","HLA-DRA","ITGAM","pred"
"P01903","P31994","HLA-DRA","FCGR2B","pred"
"P01911","P11215","HLA-DRB1","ITGAM","pred"
"P01911","P31994","HLA-DRB1","FCGR2B","pred"
"P01920","P11215","HLA-DQB1","ITGAM","pred"
"P02008","P24855","HBZ","DNASE1","pred"
"P02461","P11215","COL3A1","ITGAM","pred"
"P02461","P16410","COL3A1","CTLA4","pred"
"P02545","P11215","LMNA","ITGAM","exp"
"P02549","Q9Y2R2","SPTA1","PTPN22","exp"
"P02649","Q13546","APOE","RIPK1","pred"
"P02652","P0C0L4","APOA2","C4A","exp"
"P02652","Q13546","APOA2","RIPK1","pred"
"P02671","P11215","FGA","ITGAM","pred"
"P02675","P11215","FGB","ITGAM","pred"
"P02679","P11215","FGG","ITGAM","exp;pred"
"P02741","Q15818","CRP","NPTX1","pred"
"P02741","Q92637","CRP","FCGR1B","pred"
"P02741","Q4LDE5","CRP","SVEP1","pred"
"P02741","Q01201","CRP","RELB","pred"
"P02741","P08572","CRP","COL4A2","exp"
"P02741","Q16777","CRP","HIST2H2AC","exp"
"P02741","Q04206","CRP","RELA","pred"
"P02741","P12319","CRP","FCER1A","pred"
"P02741","Q9BXR6","CRP","CFHR5","pred"
"P02741","P02746","CRP","C1QB","pred"
"P02741","P39060","CRP","COL18A1","exp"
"P02741","P26022","CRP","PTX3","pred"
"P02741","Q7LGC8","CRP","CHST3","exp"
"P02741","P07996","CRP","THBS1","pred"
"P02741","Q00653","CRP","NFKB2","pred"
"P02741","P03372","CRP","ESR1","pred"
"P02741","Q9Y5H8","CRP","PCDHA3","pred"
"P02741","P52849","CRP","NDST2","exp"
"P02741","P29353","CRP","SHC1","pred"
"P02741","Q13316","CRP","DMP1","pred"
"P02741","P10914","CRP","IRF1","pred"
"P02741","P55268","CRP","LAMB2","exp"
"P02741","P19652","CRP","ORM2","pred"
"P02741","Q04864","CRP","REL","pred"
"P02741","P40429","CRP","RPL13A","exp"
"P02741","Q9UHN6","CRP","TMEM2","exp"
"P02741","Q9UBV7","CRP","B4GALT7","exp"
"P02741","Q16394","CRP","EXT1","exp"
"P02741","P31994","CRP","FCGR2B","exp;pred"
"P02741","P10966","CRP","CD8B","pred"
"P02741","P02745","CRP","C1QA","exp;pred"
"P02741","P29320","CRP","EPHA3","pred"
"P02741","P02751","CRP","FN1","exp;pred"
"P02741","Q9NX62","CRP","IMPAD1","exp"
"P02741","P0C0S8","CRP","HIST1H2AG;HIST1H2AI;HIST1H2AK;HIST1H2AL;HIST1H2AM","exp"
"P02741","P04003","CRP","C4BPA","pred"
"P02741","P25391","CRP","LAMA1","exp"
"P02741","P24071","CRP","FCAR","exp"
"P02741","P08603","CRP","CFH","exp;pred"
"P02741","P49716","CRP","CEBPD","pred"
"P02741","P05231","CRP","IL6","exp"
"P02741","Q05952","CRP","TNP2","pred"
"P02741","P28482","CRP","MAPK1","exp"
"P02741","P02743","CRP","APCS","exp;pred"
"P02741","Q96SI9","CRP","STRBP","exp"
"P02741","Q9Y6N6","CRP","LAMC3","exp"
"P02741","Q9NS00","CRP","C1GALT1","exp"
"P02741","Q96A99","CRP","PTX4","pred"
"P02741","Q9BZZ2","CRP","SIGLEC1","pred"
"P02741","P41159","CRP","LEP","exp;pred"
"P02741","Q15848","CRP","ADIPOQ","pred"
"P02741","P07358","CRP","C8B","pred"
"P02741","P08047","CRP","SP1","pred"
"P02741","Q13332","CRP","PTPRS","exp"
"P02741","P02741","CRP","CRP","exp"
"P02741","P35625","CRP","TIMP3","exp"
"P02741","Q6ZT12","CRP","UBR3","exp"
"P02741","P12318","CRP","FCGR2A","exp;pred"
"P02741","Q96DF8","CRP","ESS2","exp"
"P02741","Q96IJ6","CRP","GMPPA","exp"
"P02741","P49715","CRP","CEBPA","pred"
"P02741","P47972","CRP","NPTX2","pred"
"P02741","Q9BZ76","CRP","CNTNAP3","exp"
"P02741","P17676","CRP","CEBPB","pred"
"P02741","P05156","CRP","CFI","pred"
"P02741","P0C0L4","CRP","C4A","pred"
"P02741","Q9UNX3","CRP","RPL26L1","exp"
"P02741","P08621","CRP","SNRNP70","exp"
"P02741","Q13219","CRP","PAPPA","pred"
"P02741","P31995","CRP","FCGR2C","exp;pred"
"P02741","P27361","CRP","MAPK3","exp"
"P02741","P12314","CRP","FCGR1A","exp;pred"
"P02741","Q11206","CRP","ST3GAL4","exp"
"P02741","P53567","CRP","CEBPG","pred"
"P02741","Q92496","CRP","CFHR4","exp;pred"
"P02741","Q15485","CRP","FCN2","exp;pred"
"P02741","P02747","CRP","C1QC","pred"
"P02741","P62829","CRP","RPL23","exp"
"P02741","Q9HCN6","CRP","GP6","pred"
"P02741","P13501","CRP","CCL5","pred"
"P02741","P08637","CRP","FCGR3A","pred"
"P02741","Q16653","CRP","MOG","pred"
"P02741","Q9HBG7","CRP","LY9","pred"
"P02741","Q969Y0","CRP","NXPE3","exp"
"P02741","P11277","CRP","SPTB","exp"
"P02741","P20823","CRP","HNF1A","pred"
"P02741","Q9NRB3","CRP","CHST12","exp"
"P02741","P04150","CRP","NR3C1","pred"
"P02741","Q13387","CRP","MAPK8IP2","exp"
"P02741","P18428","CRP","LBP","pred"
"P02741","P02760","CRP","AMBP","pred"
"P02741","P07942","CRP","LAMB1","exp"
"P02741","Q02539","CRP","HIST1H1A","exp"
"P02741","P27797","CRP","CALR","pred"
"P02741","P19838","CRP","NFKB1","pred"
"P02741","Q9UHC6","CRP","CNTNAP2","pred"
"P02741","Q9NQ25","CRP","SLAMF7","pred"
"P02741","Q9HBH1","CRP","PDF","exp"
"P02743","P31994","APCS","FCGR2B","exp;pred"
"P02745","P0C0L5","C1QA","C4B;C4B_2","pred"
"P02745","P20023","C1QA","CR2","pred"
"P02745","P23510","C1QA","TNFSF4","pred"
"P02746","P0C0L5","C1QB","C4B;C4B_2","pred"
"P02746","P11215","C1QB","ITGAM","pred"
"P02746","P19878","C1QB","NCF2","pred"
"P02746","P20023","C1QB","CR2","pred"
"P02746","P23510","C1QB","TNFSF4","pred"
"P02747","P0C0L5","C1QC","C4B;C4B_2","pred"
"P02747","P19878","C1QC","NCF2","pred"
"P02747","P20023","C1QC","CR2","pred"
"P02747","P23510","C1QC","TNFSF4","pred"
"P02748","P0C0L5","C9","C4B;C4B_2","pred"
"P02751","P0C0L4","FN1","C4A","exp"
"P02751","P0C0L5","FN1","C4B;C4B_2","pred"
"P02751","P11215","FN1","ITGAM","pred"
"P02751","P20023","FN1","CR2","pred"
"P02751","P31994","FN1","FCGR2B","pred"
"P02760","P16410","AMBP","CTLA4","pred"
"P02760","P24855","AMBP","DNASE1","pred"
"P02768","P0C0L4","ALB","C4A","exp"
"P02768","P31994","ALB","FCGR2B","pred"
"P02768","Q13546","ALB","RIPK1","pred"
"P02774","P24855","GC","DNASE1","pred"
"P02778","P21580","CXCL10","TNFAIP3","pred"
"P02790","P0C0L5","HPX","C4B;C4B_2","pred"
"P02790","Q13546","HPX","RIPK1","pred"
"P03372","P0C0L4","ESR1","C4A","exp"
"P03372","P29376","ESR1","LTK","pred"
"P03952","P0C0L5","KLKB1","C4B;C4B_2","pred"
"P04003","P0C0L4","C4BPA","C4A","exp;pred"
"P04003","P0C0L5","C4BPA","C4B;C4B_2","pred"
"P04003","P19878","C4BPA","NCF2","pred"
"P04003","P20023","C4BPA","CR2","pred"
"P04049","P21580","RAF1","TNFAIP3","pred"
"P04049","P29376","RAF1","LTK","exp"
"P04049","P31994","RAF1","FCGR2B","pred"
"P04049","Q13546","RAF1","RIPK1","pred"
"P04080","P11215","CSTB","ITGAM","pred"
"P04083","Q13546","ANXA1","RIPK1","exp"
"P04114","P11215","APOB","ITGAM","pred"
"P04141","P31994","CSF2","FCGR2B","pred"
"P04150","P21580","NR3C1","TNFAIP3","pred"
"P04179","P19878","SOD2","NCF2","pred"
"P04179","P21580","SOD2","TNFAIP3","pred"
"P04216","P11215","THY1","ITGAM","exp"
"P04216","P16410","THY1","CTLA4","pred"
"P04229","P16410","HLA-DRB1","CTLA4","pred"
"P04233","P0C0L5","CD74","C4B;C4B_2","pred"
"P04233","P11215","CD74","ITGAM","pred"
"P04233","P16410","CD74","CTLA4","pred"
"P04233","P19878","CD74","NCF2","pred"
"P04233","P31994","CD74","FCGR2B","pred"
"P04233","Q13546","CD74","RIPK1","pred"
"P04234","P16410","CD3D","CTLA4","pred"
"P04234","Q14765","CD3D","STAT4","pred"
"P04234","Q9Y2R2","CD3D","PTPN22","pred"
"P04271","Q13546","S100B","RIPK1","pred"
"P04271","Q9Y2R2","S100B","PTPN22","pred"
"P04275","P11215","VWF","ITGAM","pred"
"P04275","P16410","VWF","CTLA4","pred"
"P04280","P11215","PRB1","ITGAM","pred"
"P04350","P21580","TUBB4A","TNFAIP3","pred"
"P04350","Q13546","TUBB4A","RIPK1","exp;pred"
"P04350","Q13568","TUBB4A","IRF5","pred"
"P04406","P21580","GAPDH","TNFAIP3","pred"
"P04406","Q13546","GAPDH","RIPK1","pred"
"P04431","P11215","-","ITGAM","pred"
"P04439","P31994","HLA-A","FCGR2B","pred"
"P04440","P11215","HLA-DPB1","ITGAM","pred"
"P04440","P31994","HLA-DPB1","FCGR2B","pred"
"P04554","P11215","PRM2","ITGAM","pred"
"P04626","P16410","ERBB2","CTLA4","pred"
"P04626","P29376","ERBB2","LTK","pred"
"P04626","P31994","ERBB2","FCGR2B","pred"
"P04626","Q13546","ERBB2","RIPK1","pred"
"P04626","Q14765","ERBB2","STAT4","pred"
"P04626","Q9Y2R2","ERBB2","PTPN22","exp;pred"
"P04629","P11215","NTRK1","ITGAM","pred"
"P04629","P29376","NTRK1","LTK","pred"
"P04629","P31994","NTRK1","FCGR2B","pred"
"P04629","Q13546","NTRK1","RIPK1","pred"
"P04629","Q9Y2R2","NTRK1","PTPN22","exp;pred"
"P04637","P11215","TP53","ITGAM","pred"
"P04637","P20023","TP53","CR2","exp"
"P04637","P21580","TP53","TNFAIP3","exp;pred"
"P04637","Q13546","TP53","RIPK1","pred"
"P04637","Q14765","TP53","STAT4","pred"
"P04792","Q9Y2R2","HSPB1","PTPN22","exp"
"P04839","P11215","CYBB","ITGAM","pred"
"P04839","P19878","CYBB","NCF2","exp;ortho;pred"
"P04899","P19878","GNAI2","NCF2","exp"
"P04899","Q13546","GNAI2","RIPK1","pred"
"P04908","Q13546","HIST1H2AB;HIST1H2AE","RIPK1","pred"
"P05014","Q13568","IFNA4","IRF5","pred"
"P05015","Q13568","IFNA16","IRF5","pred"
"P05019","P21580","IGF1","TNFAIP3","pred"
"P05023","Q13546","ATP1A1","RIPK1","pred"
"P05067","Q13546","APP","RIPK1","pred"
"P05106","P11215","ITGB3","ITGAM","pred"
"P05106","P29376","ITGB3","LTK","pred"
"P05107","P11215","ITGB2","ITGAM","exp;pred"
"P05107","P19878","ITGB2","NCF2","pred"
"P05107","P20023","ITGB2","CR2","pred"
"P05107","P31994","ITGB2","FCGR2B","pred"
"P05107","Q9Y2R2","ITGB2","PTPN22","pred"
"P05109","P19878","S100A8","NCF2","exp"
"P05111","P16410","INHA","CTLA4","pred"
"P05129","P29376","PRKCG","LTK","pred"
"P05141","P21580","SLC25A5","TNFAIP3","pred"
"P05141","Q13546","SLC25A5","RIPK1","exp;pred"
"P05155","P0C0L4","SERPING1","C4A","pred"
"P05156","P0C0L4","CFI","C4A","pred"
"P05156","P0C0L5","CFI","C4B;C4B_2","exp;pred"
"P05156","P11215","CFI","ITGAM","pred"
"P05156","P19878","CFI","NCF2","pred"
"P05156","P20023","CFI","CR2","pred"
"P05161","Q13568","ISG15","IRF5","pred"
"P05161","Q14765","ISG15","STAT4","pred"
"P05231","P16410","IL6","CTLA4","pred"
"P05231","P21580","IL6","TNFAIP3","pred"
"P05362","P0C0L5","ICAM1","C4B;C4B_2","pred"
"P05362","P11215","ICAM1","ITGAM","exp;pred"
"P05362","P21580","ICAM1","TNFAIP3","pred"
"P05362","P31994","ICAM1","FCGR2B","pred"
"P05362","Q13546","ICAM1","RIPK1","pred"
"P05387","Q13546","RPLP2","RIPK1","pred"
"P05412","Q13546","JUN","RIPK1","pred"
"P05412","Q14765","JUN","STAT4","exp;ortho;pred"
"P05556","P11215","ITGB1","ITGAM","pred"
"P05771","Q13546","PRKCB","RIPK1","pred"
"P05771","Q14765","PRKCB","STAT4","pred"
"P05783","P21580","KRT18","TNFAIP3","pred"
"P05783","Q13546","KRT18","RIPK1","pred"
"P06127","P16410","CD5","CTLA4","pred"
"P06127","P29376","CD5","LTK","pred"
"P06127","Q9Y2R2","CD5","PTPN22","pred"
"P06213","P19878","INSR","NCF2","pred"
"P06213","P29376","INSR","LTK","pred"
"P06213","P31994","INSR","FCGR2B","pred"
"P06213","Q13546","INSR","RIPK1","pred"
"P06213","Q14765","INSR","STAT4","pred"
"P06213","Q9Y2R2","INSR","PTPN22","pred"
"P06239","P16410","LCK","CTLA4","exp;pred"
"P06239","P19878","LCK","NCF2","pred"
"P06239","P29376","LCK","LTK","pred"
"P06239","P31994","LCK","FCGR2B","pred"
"P06239","Q13546","LCK","RIPK1","pred"
"P06239","Q14765","LCK","STAT4","pred"
"P06239","Q15116","LCK","PDCD1","pred"
"P06239","Q9Y2R2","LCK","PTPN22","exp;pred"
"P06241","P0C0L5","FYN","C4B;C4B_2","pred"
"P06241","P16410","FYN","CTLA4","exp;ortho;pred"
"P06241","P19878","FYN","NCF2","pred"
"P06241","P20023","FYN","CR2","pred"
"P06241","P29376","FYN","LTK","pred"
"P06241","P31994","FYN","FCGR2B","exp;pred"
"P06241","Q13546","FYN","RIPK1","pred"
"P06241","Q14765","FYN","STAT4","pred"
"P06241","Q15116","FYN","PDCD1","pred"
"P06241","Q9Y2R2","FYN","PTPN22","pred"
"P06340","P11215","HLA-DOA","ITGAM","pred"
"P06340","P16410","HLA-DOA","CTLA4","pred"
"P06340","P31994","HLA-DOA","FCGR2B","pred"
"P06396","P24855","GSN","DNASE1","pred"
"P06396","Q13546","GSN","RIPK1","pred"
"P06401","P0C0L4","PGR","C4A","exp"
"P06454","Q9NSU2","PTMA","TREX1","pred"
"P06576","P21580","ATP5B","TNFAIP3","pred"
"P06681","P0C0L4","C2","C4A","pred"
"P06681","P0C0L5","C2","C4B;C4B_2","exp;pred"
"P06681","P11215","C2","ITGAM","pred"
"P06681","P19878","C2","NCF2","pred"
"P06702","P11215","S100A9","ITGAM","pred"
"P06702","P19878","S100A9","NCF2","exp;pred"
"P06729","P11215","CD2","ITGAM","pred"
"P06729","P16410","CD2","CTLA4","pred"
"P06729","P31994","CD2","FCGR2B","pred"
"P06729","Q14765","CD2","STAT4","pred"
"P06729","Q9Y2R2","CD2","PTPN22","pred"
"P06731","P31994","CEACAM5","FCGR2B","pred"
"P06733","Q13546","ENO1","RIPK1","pred"
"P06734","P0C0L5","FCER2","C4B;C4B_2","pred"
"P06734","P20023","FCER2","CR2","exp;pred"
"P06734","Q14765","FCER2","STAT4","pred"
"P06753","P24855","TPM3","DNASE1","pred"
"P06753","Q13546","TPM3","RIPK1","pred"
"P06756","P11215","ITGAV","ITGAM","pred"
"P07195","Q9Y2R2","LDHB","PTPN22","pred"
"P07202","P0C0L4","TPO","C4A","pred"
"P07203","P19878","GPX1","NCF2","pred"
"P07204","P11215","THBD","ITGAM","pred"
"P07307","P11215","ASGR2","ITGAM","pred"
"P07332","P29376","FES","LTK","pred"
"P07332","Q13546","FES","RIPK1","pred"
"P07332","Q14765","FES","STAT4","pred"
"P07333","P11215","CSF1R","ITGAM","pred"
"P07333","P29376","CSF1R","LTK","pred"
"P07333","Q13546","CSF1R","RIPK1","pred"
"P07333","Q9Y2R2","CSF1R","PTPN22","pred"
"P07357","P0C0L5","C8A","C4B;C4B_2","pred"
"P07358","P0C0L5","C8B","C4B;C4B_2","pred"
"P07358","P20023","C8B","CR2","pred"
"P07359","P11215","GP1BA","ITGAM","pred"
"P07360","P0C0L5","C8G","C4B;C4B_2","pred"
"P07360","P16410","C8G","CTLA4","pred"
"P07437","P21580","TUBB","TNFAIP3","pred"
"P07437","Q13546","TUBB","RIPK1","exp;pred"
"P07437","Q13568","TUBB","IRF5","pred"
"P07550","Q13546","ADRB2","RIPK1","pred"
"P07550","Q14765","ADRB2","STAT4","exp"
"P07711","P0C0L4","CTSL","C4A","exp"
"P07711","P19878","CTSL","NCF2","pred"
"P07738","P19878","BPGM","NCF2","exp"
"P07766","P11215","CD3E","ITGAM","pred"
"P07766","P16410","CD3E","CTLA4","pred"
"P07766","P20023","CD3E","CR2","pred"
"P07766","P29376","CD3E","LTK","pred"
"P07766","P31994","CD3E","FCGR2B","pred"
"P07766","Q9Y2R2","CD3E","PTPN22","exp;pred"
"P07814","P21580","EPRS","TNFAIP3","pred"
"P07814","Q13546","EPRS","RIPK1","pred"
"P07858","P19878","CTSB","NCF2","pred"
"P07900","P21580","HSP90AA1","TNFAIP3","exp;pred"
"P07900","Q13546","HSP90AA1","RIPK1","exp;pred"
"P07900","Q13568","HSP90AA1","IRF5","pred"
"P07947","P16410","YES1","CTLA4","pred"
"P07947","P29376","YES1","LTK","pred"
"P07947","Q13546","YES1","RIPK1","pred"
"P07947","Q14765","YES1","STAT4","pred"
"P07948","P16410","LYN","CTLA4","exp;ortho"
"P07948","P19878","LYN","NCF2","pred"
"P07948","P20023","LYN","CR2","pred"
"P07948","P29376","LYN","LTK","pred"
"P07948","P31994","LYN","FCGR2B","exp;pred"
"P07948","Q13546","LYN","RIPK1","pred"
"P07948","Q8NDB2","LYN","BANK1","exp"
"P07949","P29376","RET","LTK","pred"
"P07949","P31994","RET","FCGR2B","pred"
"P07949","Q13546","RET","RIPK1","pred"
"P07949","Q9Y2R2","RET","PTPN22","pred"
"P07954","Q9Y2R2","FH","PTPN22","pred"
"P07996","P0C0L5","THBS1","C4B;C4B_2","pred"
"P07996","P11215","THBS1","ITGAM","pred"
"P07996","P19878","THBS1","NCF2","pred"
"P07996","Q13546","THBS1","RIPK1","pred"
"P08047","P31994","SP1","FCGR2B","pred"
"P08069","P21580","IGF1R","TNFAIP3","pred"
"P08069","P29376","IGF1R","LTK","pred"
"P08069","Q13546","IGF1R","RIPK1","pred"
"P08069","Q14765","IGF1R","STAT4","pred"
"P08107","Q13546","-","RIPK1","pred"
"P08133","P20023","ANXA6","CR2","exp"
"P08138","Q13546","NGFR","RIPK1","pred"
"P08174","P0C0L5","CD55","C4B;C4B_2","pred"
"P08174","P19878","CD55","NCF2","pred"
"P08238","P19878","HSP90AB1","NCF2","exp"
"P08238","P21580","HSP90AB1","TNFAIP3","exp;pred"
"P08238","Q13546","HSP90AB1","RIPK1","exp;pred"
"P08238","Q13568","HSP90AB1","IRF5","pred"
"P08238","Q9NSU2","HSP90AB1","TREX1","exp"
"P08246","P11215","ELANE","ITGAM","exp"
"P08294","P19878","SOD3","NCF2","pred"
"P08476","P16410","INHBA","CTLA4","pred"
"P08476","P23510","INHBA","TNFSF4","pred"
"P08514","P11215","ITGA2B","ITGAM","pred"
"P08567","P11215","PLEK","ITGAM","pred"
"P08567","P19878","PLEK","NCF2","pred"
"P08567","P21580","PLEK","TNFAIP3","pred"
"P08571","P11215","CD14","ITGAM","exp"
"P08571","P19878","CD14","NCF2","pred"
"P08575","P11215","PTPRC","ITGAM","pred"
"P08575","P16410","PTPRC","CTLA4","pred"
"P08575","P19878","PTPRC","NCF2","pred"
"P08575","P31994","PTPRC","FCGR2B","pred"
"P08575","Q13546","PTPRC","RIPK1","pred"
"P08575","Q9Y2R2","PTPRC","PTPN22","pred"
"P08581","P29376","MET","LTK","pred"
"P08581","P31994","MET","FCGR2B","pred"
"P08581","Q9Y2R2","MET","PTPN22","pred"
"P08603","P0C0L4","CFH","C4A","pred"
"P08603","P0C0L5","CFH","C4B;C4B_2","pred"
"P08603","P11215","CFH","ITGAM","exp;pred"
"P08603","P19878","CFH","NCF2","pred"
"P08603","P20023","CFH","CR2","pred"
"P08631","P11215","HCK","ITGAM","pred"
"P08631","P19878","HCK","NCF2","pred"
"P08631","P29376","HCK","LTK","pred"
"P08631","P31994","HCK","FCGR2B","pred"
"P08631","Q14765","HCK","STAT4","pred"
"P08631","Q9Y2R2","HCK","PTPN22","pred"
"P08637","Q9Y2R2","FCGR3A","PTPN22","pred"
